tElapsedSec,wallClock,fps,rssMB,heapMB,heapTotalMB,poolSize,activeVideos,castTotal,castOnstage,visitorCastLen,spawnQueueLen,sceneId,mode,reloads,submittedTotal
8.1,"2026-09-21T03:22:11.604Z",3.51,1587.37,2.230170249938965,4.672636985778809,33,10,21,8,1,0,"s04","visitor_spawn",0,1
36.8,"2026-09-21T03:22:39.495Z",1.04,1743.67,2.2037086486816406,4.427547454833984,34,10,21,8,1,2,"s04","visitor_spawn",0,3
66.6,"2026-09-21T03:23:10.560Z",0.97,1775.55,2.1454687118530273,3.91538143157959,34,10,21,8,1,5,"s04","visitor_spawn",0,6
95.9,"2026-09-21T03:23:40.037Z",0.68,1777.46,2.4332075119018555,4.921809196472168,32,8,21,8,1,8,"s05","visitor_goal",0,9
122.3,"2026-09-21T03:24:07.672Z",0.43,1768.28,2.343111038208008,4.170309066772461,32,8,21,8,1,10,"s05","visitor_goal",0,11
148,"2026-09-21T03:24:32.476Z",0.32,1774.3,2.62032413482666,4.42092227935791,32,8,21,8,1,12,"s05","visitor_goal",0,13
177,"2026-09-21T03:25:03.411Z",0.32,1773.06,2.954702377319336,5.026456832885742,32,8,21,8,1,14,"s05","visitor_goal",0,15
201.9,"2026-09-21T03:25:26.445Z",0.52,1765.3,2.1022109985351562,4.168426513671875,32,8,21,8,1,16,"s05","visitor_goal",0,17
231.1,"2026-09-21T03:25:55.353Z",0.66,1774.39,2.6464710235595703,4.670442581176758,32,8,21,8,1,19,"s05","visitor_goal",0,20
258.6,"2026-09-21T03:26:24.306Z",0.28,1778.45,2.8961944580078125,4.721469879150391,32,8,21,8,1,21,"s05","visitor_goal",0,22
288.1,"2026-09-21T03:26:55.495Z",0.35,1715.54,7.10427188873291,9.029644966125488,40,9,22,8,2,22,"s04","visitor_spawn",0,24
317.5,"2026-09-21T03:27:21.764Z",0.8,1796.29,34.41447353363037,36.199477195739746,40,9,22,8,2,24,"s04","visitor_spawn",0,26
344.2,"2026-09-21T03:27:46.838Z",0.76,1832.86,27.700990676879883,30.624303817749023,40,9,22,8,2,26,"s04","visitor_spawn",0,28
374.1,"2026-09-21T03:28:19.227Z",0.62,1645.56,28.403916358947754,30.625744819641113,40,9,22,8,2,29,"s04","visitor_spawn",0,31
402.5,"2026-09-21T03:28:45.230Z",0.42,1663.03,4.793063163757324,8.249968528747559,38,7,22,8,2,31,"s05","visitor_goal",0,33
421.5,"2026-09-21T03:29:11.237Z",0.27,1647.27,5.049991607666016,8.250785827636719,38,7,22,8,2,33,"s05","visitor_goal",0,35
449.6,"2026-09-21T03:29:33.250Z",0.36,1644.14,5.337895393371582,8.251137733459473,38,7,22,8,2,35,"s05","visitor_goal",0,37
477,"2026-09-21T03:30:01.126Z",0.29,1636,4.657109260559082,7.251137733459473,38,7,22,8,2,37,"s05","visitor_goal",0,39
502.4,"2026-09-21T03:30:33.046Z",0.22,1645.46,4.879729270935059,7.251181602478027,38,7,22,8,2,39,"s05","visitor_goal",0,41
527.8,"2026-09-21T03:30:52.156Z",0.31,1648.5,5.071059226989746,7.251181602478027,38,7,22,8,2,41,"s05","visitor_goal",0,43
554,"2026-09-21T03:31:16.458Z",0.41,1640.9,5.391596794128418,7.501181602478027,38,7,22,8,2,43,"s05","visitor_goal",0,45
582.2,"2026-09-21T03:31:46.836Z",0.36,1640.41,4.702692031860352,6.249391555786133,38,7,22,8,2,45,"s05","visitor_goal",0,47
610.9,"2026-09-21T03:32:13.919Z",0.22,1641.34,4.895620346069336,6.49968147277832,38,7,22,8,2,48,"s05","visitor_goal",0,50
637.6,"2026-09-21T03:32:44.283Z",0.23,1521.3,5.122391700744629,6.499791145324707,38,7,22,8,2,50,"s05","visitor_goal",0,52
664.2,"2026-09-21T03:33:10.125Z",0.39,1522.56,4.501483917236328,5.999900817871094,38,7,22,8,2,52,"s05","visitor_goal",0,54
692,"2026-09-21T03:33:36.405Z",0.42,1398.34,6.488146781921387,8.086993217468262,40,9,23,8,3,53,"s04","visitor_spawn",0,56
717.8,"2026-09-21T03:34:01.032Z",0.97,1504.4,6.7478532791137695,8.835843086242676,40,10,23,8,3,55,"s04","visitor_spawn",0,58
747.3,"2026-09-21T03:34:31.092Z",0.86,1605.25,6.6500749588012695,8.835965156555176,40,9,23,8,3,58,"s04","visitor_spawn",0,61
773.6,"2026-09-21T03:34:58.800Z",0.69,1648.19,6.704169273376465,10.587874412536621,38,7,23,8,3,60,"s05","visitor_goal",0,63
802.1,"2026-09-21T03:35:26.481Z",0.36,1657.3,7.041416168212891,10.839229583740234,38,7,23,8,3,62,"s05","visitor_goal",0,65
827.9,"2026-09-21T03:35:53.557Z",0.33,1658.73,6.744067192077637,9.33808422088623,38,7,23,8,3,64,"s05","visitor_goal",0,67
857.6,"2026-09-21T03:36:21.291Z",0.25,1647.07,6.974811553955078,9.33843994140625,38,7,23,8,3,66,"s05","visitor_goal",0,69
885.8,"2026-09-21T03:36:48.643Z",0.44,1656.53,7.373058319091797,9.588615417480469,38,7,23,8,3,68,"s05","visitor_goal",0,71
912.8,"2026-09-21T03:37:16.346Z",0.51,1655.61,6.540240287780762,8.086455345153809,38,7,23,8,3,70,"s05","visitor_goal",0,73
941.6,"2026-09-21T03:37:47.983Z",0.32,1649.46,6.645941734313965,8.337508201599121,38,7,23,8,3,71,"s05","visitor_goal",0,74
968.5,"2026-09-21T03:38:16.589Z",0.21,1657.84,6.841093063354492,8.588083267211914,38,7,23,8,3,72,"s05","visitor_goal",0,75
995.6,"2026-09-21T03:38:40.224Z",0.55,1653.46,6.711853981018066,8.587552070617676,38,7,23,8,3,74,"s05","visitor_goal",0,77
1024.7,"2026-09-21T03:39:07.962Z",1.01,1709.75,28.505695343017578,30.096851348876953,40,10,24,8,4,76,"s04","visitor_spawn",0,80
1052.2,"2026-09-21T03:39:36.382Z",0.95,1821.86,48.86414623260498,58.305583000183105,40,9,24,8,4,78,"s04","visitor_spawn",0,82
1080,"2026-09-21T03:40:03.574Z",0.55,1660.25,49.33464050292969,58.307037353515625,40,9,24,8,4,80,"s04","visitor_spawn",0,84
1105.9,"2026-09-21T03:40:28.376Z",0.73,1698.66,52.04476261138916,61.05825901031494,38,7,24,8,4,82,"s05","visitor_goal",0,86
1132.8,"2026-09-21T03:40:56.886Z",0.56,1686.32,52.55080795288086,61.55900573730469,38,7,24,8,4,85,"s05","visitor_goal",0,89
1161.9,"2026-09-21T03:41:25.771Z",0.52,1686.27,52.98524284362793,62.05904960632324,38,7,24,8,4,87,"s05","visitor_goal",0,91
1191.8,"2026-09-21T03:41:55.679Z",0.43,1691.96,53.3604793548584,62.30904960632324,38,7,24,8,4,90,"s05","visitor_goal",0,94
1219.4,"2026-09-21T03:42:22.932Z",0.88,1639.02,8.617012977600098,10.381089210510254,38,7,24,8,4,92,"s05","visitor_goal",0,96
1248.1,"2026-09-21T03:42:52.748Z",0.47,1643.91,9.029267311096191,10.6328706741333,38,7,24,8,4,95,"s05","visitor_goal",0,99
1277.4,"2026-09-21T03:43:21.331Z",0.38,1661.06,11.580451965332031,13.198108673095703,40,10,25,8,5,96,"s04","visitor_spawn",0,101
1306.2,"2026-09-21T03:43:49.485Z",1.1,1792.8,8.866982460021973,10.865948677062988,40,8,25,8,5,99,"s04","visitor_spawn",0,104
1333.7,"2026-09-21T03:44:16.497Z",1.22,1789.65,8.81878662109375,11.213424682617188,38,7,25,8,5,101,"s05","visitor_goal",0,106
1360.9,"2026-09-21T03:44:45.277Z",0.35,1781.79,9.143631935119629,11.36894702911377,38,7,25,8,5,104,"s05","visitor_goal",0,109
1390.5,"2026-09-21T03:45:15.493Z",0.43,1616.22,9.543431282043457,11.86949634552002,38,7,25,8,5,107,"s05","visitor_goal",0,112
1420,"2026-09-21T03:45:43.620Z",0.92,1616.77,8.930065155029297,10.368099212646484,38,7,25,8,5,110,"s05","visitor_goal",0,115
1447.9,"2026-09-21T03:46:11.766Z",0.68,1615.2,9.492500305175781,10.86856460571289,38,7,25,8,5,112,"s05","visitor_goal",0,117
1477.4,"2026-09-21T03:46:40.695Z",0.45,1604.09,8.811254501342773,10.367879867553711,38,7,25,8,5,115,"s05","visitor_goal",0,120
1507.2,"2026-09-21T03:47:09.716Z",0.41,1689.03,10.961525917053223,13.475686073303223,40,20,26,8,6,116,"s04","visitor_spawn",0,122
1535.2,"2026-09-21T03:47:38.561Z",1.14,1763.16,9.054495811462402,11.386092185974121,40,10,26,8,6,119,"s04","visitor_spawn",0,125
1561.8,"2026-09-21T03:48:04.508Z",0.69,1813.79,9.561897277832031,11.887260437011719,40,10,26,8,6,121,"s04","visitor_spawn",0,127
1584.9,"2026-09-21T03:48:31.541Z",0.41,1809.8,8.921947479248047,11.387523651123047,40,10,26,8,6,123,"s04","visitor_spawn",0,129
1610.1,"2026-09-21T03:48:53.299Z",0.32,2262.33,9.12798023223877,11.387726783752441,40,10,26,8,6,124,"s04","visitor_spawn",0,130
1635.2,"2026-09-21T03:49:17.818Z",1.14,2269.23,8.757635116577148,10.886659622192383,38,8,26,8,6,126,"s05","visitor_goal",0,132
1662.3,"2026-09-21T03:49:46.900Z",0.93,1937.18,9.53808307647705,11.637673377990723,38,8,26,8,6,129,"s05","visitor_goal",0,135
1691.5,"2026-09-21T03:50:13.951Z",0.37,1935.73,8.881983757019043,10.887831687927246,38,8,26,8,6,131,"s05","visitor_goal",0,137
1721.4,"2026-09-21T03:50:45.336Z",0.25,1935.11,9.109076499938965,11.137831687927246,38,8,26,8,6,133,"s05","visitor_goal",0,139
1748.5,"2026-09-21T03:51:12.069Z",0.34,1899.37,8.628471374511719,10.384883880615234,38,8,26,8,6,135,"s05","visitor_goal",0,141
1778.3,"2026-09-21T03:51:45.110Z",0.67,1978.08,19.907721519470215,21.276618003845215,40,10,27,8,7,137,"s04","visitor_spawn",0,144
1804.2,"2026-09-21T03:52:06.728Z",0.74,2053.15,31.09669780731201,32.65130138397217,40,9,27,8,7,139,"s04","visitor_spawn",0,146
1833.1,"2026-09-21T03:52:36.163Z",0.51,1647.74,38.42102241516113,50.17930793762207,40,10,27,8,7,141,"s04","visitor_spawn",0,148
1862.3,"2026-09-21T03:53:06.249Z",0.66,1718.61,38.98271179199219,50.1806526184082,40,10,27,8,7,143,"s04","visitor_spawn",0,150
1890.3,"2026-09-21T03:53:40.349Z",0.35,1423.28,41.5442476272583,50.681668281555176,38,8,27,8,7,145,"s05","visitor_goal",0,152
1917.8,"2026-09-21T03:54:02.887Z",0.22,1425.71,41.698720932006836,50.682241439819336,38,8,27,8,7,147,"s05","visitor_goal",0,154
1945.6,"2026-09-21T03:54:29.232Z",0.3,1558.56,41.936391830444336,50.93268013000488,38,8,27,8,7,149,"s05","visitor_goal",0,156
1973.6,"2026-09-21T03:54:58.482Z",0.34,1670.85,42.240403175354004,51.18270206451416,38,8,27,8,7,152,"s05","visitor_goal",0,159
2002.2,"2026-09-21T03:55:32.368Z",0.27,1652.69,42.499515533447266,51.43277359008789,38,8,27,8,7,155,"s05","visitor_goal",0,162
2040,"2026-09-21T03:56:06.307Z",0.21,1661.78,42.70045471191406,51.68277359008789,38,8,27,8,7,156,"s05","visitor_goal",0,163
2067.3,"2026-09-21T03:56:30.787Z",0.49,1672.54,43.021910667419434,51.93279552459717,38,8,27,8,7,158,"s05","visitor_goal",0,165
2097.3,"2026-09-21T03:57:06.319Z",0.37,1524.32,43.372456550598145,52.432888984680176,38,8,27,8,7,161,"s05","visitor_goal",0,168
2155,"2026-09-21T03:57:58.616Z",0.17,1534.38,43.610840797424316,52.585232734680176,38,8,27,8,7,162,"s05","visitor_goal",0,169
2183.2,"2026-09-21T03:58:30.248Z",0.54,1234.79,49.10744094848633,58.00807189941406,40,9,28,8,8,164,"s04","visitor_spawn",0,172
2211.4,"2026-09-21T03:58:54.392Z",0.87,1340.29,38.61135959625244,40.35400867462158,40,10,28,8,8,166,"s04","visitor_spawn",0,174
2236.8,"2026-09-21T03:59:19.695Z",0.75,1364.27,33.780638694763184,44.02405834197998,40,10,28,8,8,168,"s04","visitor_spawn",0,176
2265.5,"2026-09-21T03:59:48.128Z",1.51,1408.68,6.675782203674316,8.550549507141113,38,8,28,8,8,171,"s05","visitor_goal",0,179
2293.5,"2026-09-21T04:00:15.953Z",0.58,1413.14,6.609498023986816,7.797783851623535,38,8,28,8,8,173,"s05","visitor_goal",0,181
2321.7,"2026-09-21T04:00:48.301Z",0.4,1631.73,6.862896919250488,8.549187660217285,38,8,28,8,8,176,"s05","visitor_goal",0,184
2347.9,"2026-09-21T04:01:13.467Z",0.28,1628.33,7.062115669250488,8.549477577209473,38,8,28,8,8,178,"s05","visitor_goal",0,186
2375,"2026-09-21T04:01:37.686Z",0.5,1622.06,6.650482177734375,8.04815673828125,38,8,28,8,8,180,"s05","visitor_goal",0,188
2402.2,"2026-09-21T04:02:05.433Z",0.5,1625.45,6.7344770431518555,7.798514366149902,38,8,28,8,8,183,"s05","visitor_goal",0,191
2428.7,"2026-09-21T04:02:32.060Z",0.23,1611.86,6.904348373413086,8.049264907836914,38,8,28,8,8,185,"s05","visitor_goal",0,193
2456.9,"2026-09-21T04:03:01.616Z",0.24,1632.76,7.1003875732421875,8.299571990966797,38,8,28,8,8,186,"s05","visitor_goal",0,194
2483.4,"2026-09-21T04:03:27.186Z",0.66,1727.9,23.85806179046631,25.32449245452881,40,10,29,8,9,187,"s04","visitor_spawn",0,196
2508.8,"2026-09-21T04:03:59.489Z",0.56,1791.91,41.35800266265869,46.3319673538208,40,10,29,8,9,189,"s04","visitor_spawn",0,198
2534.2,"2026-09-21T04:04:17.322Z",0.56,1820.66,41.6576042175293,46.583553314208984,40,10,29,8,9,190,"s04","visitor_spawn",0,199
2562.7,"2026-09-21T04:04:46.146Z",0.56,1757.82,42.11081600189209,47.08418941497803,40,10,29,8,9,192,"s04","visitor_spawn",0,201
2591.1,"2026-09-21T04:05:15.096Z",0.41,1808.8,42.44383525848389,47.5845251083374,40,10,29,8,9,194,"s04","visitor_spawn",0,203
2619.7,"2026-09-21T04:05:48.767Z",0.21,1638.39,36.2187385559082,37.76487350463867,38,8,29,8,9,196,"s05","visitor_goal",0,205
2648.2,"2026-09-21T04:06:13.565Z",0.24,1627.71,36.38942813873291,37.76545810699463,38,8,29,8,9,198,"s05","visitor_goal",0,207
2677.8,"2026-09-21T04:06:41.998Z",0.21,1634.2,36.556884765625,37.765647888183594,38,8,29,8,9,199,"s05","visitor_goal",0,208
2701.9,"2026-09-21T04:07:06.832Z",0.24,1630.57,34.69496250152588,35.9171724319458,38,8,29,8,9,201,"s05","visitor_goal",0,210
2731.5,"2026-09-21T04:07:36.666Z",0.17,1637.79,34.8391695022583,36.167222023010254,38,8,29,8,9,202,"s05","visitor_goal",0,211
2756.9,"2026-09-21T04:08:02.273Z",0.16,1633.63,34.95168399810791,36.167222023010254,38,8,29,8,9,203,"s05","visitor_goal",0,212
2840.9,"2026-09-21T04:09:29.349Z",0.15,1398.52,35.31461811065674,36.468003273010254,38,8,29,8,9,204,"s05","visitor_goal",0,213
