tElapsedSec,wallClock,fps,rssMB,heapMB,heapTotalMB,poolSize,activeVideos,castTotal,castOnstage,visitorCastLen,spawnQueueLen,sceneId,mode,reloads,submittedTotal
6.7,"2026-09-21T03:22:14.111Z",3.49,1540.92,1.9893865585327148,3.9169225692749023,23,23,21,8,"",0,"s04","visitor_spawn",0,1
22.1,"2026-09-21T03:22:31.516Z",1.15,1616.99,2.7808427810668945,4.475735664367676,24,23,21,8,"",1,"s04","visitor_spawn",0,2
40.3,"2026-09-21T03:22:48.026Z",0.73,1693.97,2.3552818298339844,3.6709136962890625,24,23,21,8,"",2,"s04","visitor_spawn",0,3
59.7,"2026-09-21T03:23:07.537Z",0.97,1789.88,2.188288688659668,3.912936210632324,24,22,21,8,"",4,"s04","visitor_spawn",0,5
76.9,"2026-09-21T03:23:24.587Z",1,1783.91,2.1241016387939453,5.666604995727539,22,21,21,8,"",5,"s05","visitor_goal",0,6
95.2,"2026-09-21T03:23:44.675Z",0.55,1784.21,2.1504592895507812,4.166378021240234,22,21,21,8,"",7,"s05","visitor_goal",0,8
111.3,"2026-09-21T03:23:59.564Z",0.47,1780.2,2.3986310958862305,4.417830467224121,22,21,21,8,"",8,"s05","visitor_goal",0,9
128.1,"2026-09-21T03:24:17.654Z",0.33,1759.48,2.6051034927368164,4.668126106262207,22,21,21,8,"",9,"s05","visitor_goal",0,10
140.1,"2026-09-21T03:24:33.768Z",0.31,1773.48,2.7766895294189453,4.668279647827148,22,21,21,8,"",10,"s05","visitor_goal",0,11
156.5,"2026-09-21T03:24:47.796Z",0.29,1759.48,2.910137176513672,4.9184112548828125,22,21,21,8,"",11,"s05","visitor_goal",0,12
173.3,"2026-09-21T03:25:01.855Z",0.36,1757.91,3.0883493423461914,4.9184770584106445,22,21,21,8,"",12,"s05","visitor_goal",0,13
184,"2026-09-21T03:25:19.927Z",0.39,1774.49,2.149521827697754,4.415757179260254,22,21,21,8,"",13,"s05","visitor_goal",0,14
203.9,"2026-09-21T03:25:31.779Z",1.01,1758.23,2.073274612426758,3.6652164459228516,22,21,21,8,"",14,"s05","visitor_goal",0,15
223.6,"2026-09-21T03:25:52.824Z",0.57,1786.46,2.484471321105957,3.917351722717285,22,21,21,8,"",15,"s05","visitor_goal",0,16
240.2,"2026-09-21T03:26:10.846Z",0.33,1769.72,2.666444778442383,4.167505264282227,22,21,21,8,"",16,"s05","visitor_goal",0,17
253.8,"2026-09-21T03:26:28.804Z",0.22,1762.28,2.7906246185302734,4.167505264282227,22,21,21,8,"",17,"s05","visitor_goal",0,18
270.9,"2026-09-21T03:26:40.769Z",0.33,1769.02,2.9135446548461914,4.417527198791504,22,21,21,8,"",18,"s05","visitor_goal",0,19
288.8,"2026-09-21T03:27:00.561Z",0.35,1804.96,7.071967124938965,8.241415977478027,39,38,22,8,"",18,"s04","visitor_spawn",0,20
308.5,"2026-09-21T03:27:17.529Z",0.77,1967.37,16.838265419006348,18.22386646270752,40,38,22,8,"",19,"s04","visitor_spawn",0,21
323.7,"2026-09-21T03:27:31.894Z",0.84,1999.27,25.195880889892578,26.065521240234375,40,37,22,8,"",20,"s04","visitor_spawn",0,22
342.2,"2026-09-21T03:27:51.056Z",0.68,2109.92,31.511279106140137,41.70738124847412,40,37,22,8,"",22,"s04","visitor_spawn",0,24
358.5,"2026-09-21T03:28:06.058Z",0.6,2052.1,31.833297729492188,41.708396911621094,40,38,22,8,"",23,"s04","visitor_spawn",0,25
378.5,"2026-09-21T03:28:28.697Z",0.62,1883.6,27.590801239013672,30.20752716064453,40,38,22,8,"",25,"s04","visitor_spawn",0,27
391.5,"2026-09-21T03:28:42.352Z",0.59,1871.85,27.861507415771484,30.208740234375,40,38,22,8,"",26,"s04","visitor_spawn",0,28
427.3,"2026-09-21T03:29:17.846Z",0.28,1885.49,4.613698959350586,7.212953567504883,38,36,22,8,"",27,"s05","visitor_goal",0,29
442.4,"2026-09-21T03:29:29.894Z",0.33,1881.99,4.800966262817383,7.213262557983398,38,36,22,8,"",28,"s05","visitor_goal",0,30
457.6,"2026-09-21T03:29:46.204Z",0.31,1876.78,5.017786026000977,7.213373184204102,38,36,22,8,"",29,"s05","visitor_goal",0,31
475.7,"2026-09-21T03:30:08.514Z",0.27,1871.75,5.227304458618164,7.213373184204102,38,36,22,8,"",31,"s05","visitor_goal",0,33
490.8,"2026-09-21T03:30:21.177Z",0.24,1874.14,4.400143623352051,6.463421821594238,38,36,22,8,"",32,"s05","visitor_goal",0,34
506.2,"2026-09-21T03:30:46.193Z",0.24,1884.64,4.6020402908325195,6.713421821594238,38,36,22,8,"",33,"s05","visitor_goal",0,35
527.8,"2026-09-21T03:31:00.806Z",0.41,1894.29,4.337060928344727,6.210382461547852,38,36,22,8,"",34,"s05","visitor_goal",0,36
543.5,"2026-09-21T03:31:11.443Z",0.38,1880.35,4.478790283203125,6.211418151855469,38,36,22,8,"",35,"s05","visitor_goal",0,37
559.3,"2026-09-21T03:31:26.976Z",0.39,1882.48,4.679938316345215,6.461791038513184,38,36,22,8,"",36,"s05","visitor_goal",0,38
574.7,"2026-09-21T03:31:44.086Z",0.35,1882.81,4.875446319580078,6.711944580078125,38,36,22,8,"",37,"s05","visitor_goal",0,39
632.5,"2026-09-21T03:32:45.772Z",0.23,1779.05,4.419440269470215,6.212054252624512,38,36,22,8,"",38,"s05","visitor_goal",0,40
648.6,"2026-09-21T03:32:58.489Z",0.31,1786.74,4.548593521118164,6.462076187133789,38,36,22,8,"",39,"s05","visitor_goal",0,41
