<unknown>:4: SyntaxWarning: invalid escape sequence '\.'
<unknown>:5: SyntaxWarning: invalid escape sequence '\w'
371 題（evalplus）　輸出 runs/g_off371_20260825
── 量具驗證（先答已知答案）
   參考解通過 371/371　壞解被擋 371/371
── 模型池：6 個 agent／1 個模型家族
── 模型池預檢（每個 model 問一句，零容忍）
   qwen/qwen3.6-35b-a3b　回 4 字　✓
  [OFF 1/371] 需求符合=False 接受=True 累計呼叫=1
  [OFF 2/371] 需求符合=True 接受=True 累計呼叫=2
  [OFF 3/371] 需求符合=True 接受=True 累計呼叫=3
  [OFF 4/371] 需求符合=True 接受=True 累計呼叫=4
  [OFF 5/371] 需求符合=True 接受=True 累計呼叫=5
  [OFF 6/371] 需求符合=True 接受=True 累計呼叫=6
  [OFF 7/371] 需求符合=True 接受=True 累計呼叫=7
  [OFF 8/371] 需求符合=True 接受=True 累計呼叫=8
  [OFF 9/371] 需求符合=False 接受=True 累計呼叫=9
  [OFF 10/371] 需求符合=True 接受=True 累計呼叫=10
  [OFF 11/371] 需求符合=True 接受=True 累計呼叫=11
  [OFF 12/371] 需求符合=True 接受=True 累計呼叫=12
  [OFF 13/371] 需求符合=True 接受=True 累計呼叫=13
  [OFF 14/371] 需求符合=False 接受=True 累計呼叫=14
  [OFF 15/371] 需求符合=False 接受=True 累計呼叫=15
  [OFF 16/371] 需求符合=True 接受=True 累計呼叫=16
  [OFF 17/371] 需求符合=True 接受=True 累計呼叫=17
  [OFF 18/371] 需求符合=True 接受=True 累計呼叫=18
  [OFF 19/371] 需求符合=True 接受=True 累計呼叫=19
  [OFF 20/371] 需求符合=True 接受=True 累計呼叫=20
  [OFF 21/371] 需求符合=True 接受=True 累計呼叫=21
  [OFF 22/371] 需求符合=True 接受=True 累計呼叫=22
  [OFF 23/371] 需求符合=True 接受=True 累計呼叫=23
  [OFF 24/371] 需求符合=True 接受=True 累計呼叫=24
  [OFF 25/371] 需求符合=True 接受=True 累計呼叫=25
  [OFF 26/371] 需求符合=False 接受=True 累計呼叫=26
  [OFF 27/371] 需求符合=True 接受=True 累計呼叫=27
  [OFF 28/371] 需求符合=False 接受=True 累計呼叫=28
  [OFF 29/371] 需求符合=True 接受=True 累計呼叫=29
  [OFF 30/371] 需求符合=True 接受=True 累計呼叫=30
  [OFF 31/371] 需求符合=False 接受=True 累計呼叫=31
  [OFF 32/371] 需求符合=True 接受=True 累計呼叫=32
  [OFF 33/371] 需求符合=True 接受=True 累計呼叫=33
  [OFF 34/371] 需求符合=False 接受=True 累計呼叫=34
  [OFF 35/371] 需求符合=True 接受=True 累計呼叫=35
  [OFF 36/371] 需求符合=True 接受=True 累計呼叫=36
  [OFF 37/371] 需求符合=True 接受=True 累計呼叫=37
  [OFF 38/371] 需求符合=True 接受=True 累計呼叫=38
  [OFF 39/371] 需求符合=True 接受=True 累計呼叫=39
  [OFF 42/371] 需求符合=True 接受=True 累計呼叫=40
  [OFF 43/371] 需求符合=True 接受=True 累計呼叫=41
  [OFF 44/371] 需求符合=True 接受=True 累計呼叫=42
  [OFF 45/371] 需求符合=True 接受=True 累計呼叫=43
  [OFF 46/371] 需求符合=False 接受=True 累計呼叫=44
  [OFF 48/371] 需求符合=True 接受=True 累計呼叫=45
  [OFF 49/371] 需求符合=True 接受=True 累計呼叫=46
  [OFF 50/371] 需求符合=True 接受=True 累計呼叫=47
  [OFF 51/371] 需求符合=True 接受=True 累計呼叫=48
  [OFF 52/371] 需求符合=True 接受=True 累計呼叫=49
  [OFF 53/371] 需求符合=True 接受=True 累計呼叫=50
  [OFF 54/371] 需求符合=True 接受=True 累計呼叫=51
  [OFF 55/371] 需求符合=True 接受=True 累計呼叫=52
  [OFF 56/371] 需求符合=True 接受=True 累計呼叫=53
  [OFF 57/371] 需求符合=False 接受=True 累計呼叫=54
  [OFF 58/371] 需求符合=True 接受=True 累計呼叫=55
  [OFF 59/371] 需求符合=False 接受=True 累計呼叫=56
  [OFF 60/371] 需求符合=False 接受=True 累計呼叫=57
  [OFF 61/371] 需求符合=True 接受=True 累計呼叫=58
  [OFF 62/371] 需求符合=False 接受=True 累計呼叫=59
  [OFF 63/371] 需求符合=True 接受=True 累計呼叫=60
  [OFF 64/371] 需求符合=True 接受=True 累計呼叫=61
  [OFF 65/371] 需求符合=True 接受=True 累計呼叫=62
  [OFF 66/371] 需求符合=True 接受=True 累計呼叫=63
  [OFF 67/371] 需求符合=False 接受=True 累計呼叫=64
  [OFF 68/371] 需求符合=True 接受=True 累計呼叫=65
  [OFF 69/371] 需求符合=True 接受=True 累計呼叫=66
  [OFF 70/371] 需求符合=True 接受=True 累計呼叫=67
  [OFF 71/371] 需求符合=True 接受=True 累計呼叫=68
  [OFF 72/371] 需求符合=True 接受=True 累計呼叫=69
  [OFF 73/371] 需求符合=True 接受=True 累計呼叫=70
  [OFF 74/371] 需求符合=True 接受=True 累計呼叫=71
  [OFF 75/371] 需求符合=True 接受=True 累計呼叫=72
  [OFF 76/371] 需求符合=True 接受=True 累計呼叫=73
  [OFF 77/371] 需求符合=True 接受=True 累計呼叫=74
  [OFF 78/371] 需求符合=True 接受=True 累計呼叫=75
  [OFF 79/371] 需求符合=False 接受=True 累計呼叫=76
  [OFF 80/371] 需求符合=True 接受=True 累計呼叫=77
  [OFF 81/371] 需求符合=True 接受=True 累計呼叫=78
  [OFF 82/371] 需求符合=False 接受=True 累計呼叫=79
  [OFF 83/371] 需求符合=True 接受=True 累計呼叫=80
  [OFF 84/371] 需求符合=False 接受=True 累計呼叫=81
  [OFF 85/371] 需求符合=True 接受=True 累計呼叫=82
  [OFF 86/371] 需求符合=True 接受=True 累計呼叫=83
  [OFF 87/371] 需求符合=True 接受=True 累計呼叫=84
  [OFF 88/371] 需求符合=True 接受=True 累計呼叫=85
  [OFF 89/371] 需求符合=True 接受=True 累計呼叫=86
  [OFF 90/371] 需求符合=True 接受=True 累計呼叫=87
  [OFF 91/371] 需求符合=False 接受=True 累計呼叫=88
  [OFF 92/371] 需求符合=True 接受=True 累計呼叫=89
  [OFF 93/371] 需求符合=True 接受=True 累計呼叫=90
  [OFF 94/371] 需求符合=False 接受=True 累計呼叫=91
  [OFF 95/371] 需求符合=True 接受=True 累計呼叫=92
  [OFF 96/371] 需求符合=False 接受=True 累計呼叫=93
  [OFF 97/371] 需求符合=False 接受=True 累計呼叫=94
  [OFF 98/371] 需求符合=True 接受=True 累計呼叫=95
  [OFF 99/371] 需求符合=True 接受=True 累計呼叫=96
  [OFF 100/371] 需求符合=True 接受=True 累計呼叫=97
  [OFF 101/371] 需求符合=True 接受=True 累計呼叫=98
  [OFF 102/371] 需求符合=True 接受=True 累計呼叫=99
  [OFF 103/371] 需求符合=True 接受=True 累計呼叫=100
  [OFF 104/371] 需求符合=True 接受=True 累計呼叫=101
  [OFF 105/371] 需求符合=True 接受=True 累計呼叫=102
  [OFF 106/371] 需求符合=True 接受=True 累計呼叫=103
  [OFF 107/371] 需求符合=False 接受=True 累計呼叫=104
  [OFF 108/371] 需求符合=True 接受=True 累計呼叫=105
  [OFF 109/371] 需求符合=True 接受=True 累計呼叫=106
  [OFF 110/371] 需求符合=True 接受=True 累計呼叫=107
  [OFF 111/371] 需求符合=True 接受=True 累計呼叫=108
  [OFF 112/371] 需求符合=True 接受=True 累計呼叫=109
  [OFF 113/371] 需求符合=False 接受=True 累計呼叫=110
  [OFF 114/371] 需求符合=True 接受=True 累計呼叫=111
  [OFF 115/371] 需求符合=True 接受=True 累計呼叫=112
  [OFF 116/371] 需求符合=True 接受=True 累計呼叫=113
  [OFF 117/371] 需求符合=True 接受=True 累計呼叫=114
  [OFF 118/371] 需求符合=True 接受=True 累計呼叫=115
  [OFF 119/371] 需求符合=False 接受=True 累計呼叫=116
  [OFF 120/371] 需求符合=True 接受=True 累計呼叫=117
  [OFF 121/371] 需求符合=True 接受=True 累計呼叫=118
  [OFF 122/371] 需求符合=True 接受=True 累計呼叫=119
  [OFF 123/371] 需求符合=True 接受=True 累計呼叫=120
  [OFF 124/371] 需求符合=True 接受=True 累計呼叫=121
  [OFF 125/371] 需求符合=True 接受=True 累計呼叫=122
  [OFF 126/371] 需求符合=True 接受=True 累計呼叫=123
  [OFF 127/371] 需求符合=False 接受=True 累計呼叫=124
  [OFF 128/371] 需求符合=True 接受=True 累計呼叫=125
  [OFF 129/371] 需求符合=True 接受=True 累計呼叫=126
  [OFF 130/371] 需求符合=True 接受=True 累計呼叫=127
  [OFF 131/371] 需求符合=True 接受=True 累計呼叫=128
  [OFF 132/371] 需求符合=True 接受=True 累計呼叫=129
  [OFF 133/371] 需求符合=True 接受=True 累計呼叫=130
  [OFF 134/371] 需求符合=True 接受=True 累計呼叫=131
  [OFF 135/371] 需求符合=True 接受=True 累計呼叫=132
  [OFF 136/371] 需求符合=True 接受=True 累計呼叫=133
  [OFF 137/371] 需求符合=True 接受=True 累計呼叫=134
  [OFF 138/371] 需求符合=True 接受=True 累計呼叫=135
  [OFF 139/371] 需求符合=True 接受=True 累計呼叫=136
  [OFF 140/371] 需求符合=True 接受=True 累計呼叫=137
  [OFF 141/371] 需求符合=True 接受=True 累計呼叫=138
  [OFF 142/371] 需求符合=True 接受=True 累計呼叫=139
  [OFF 143/371] 需求符合=True 接受=True 累計呼叫=140
  [OFF 144/371] 需求符合=False 接受=True 累計呼叫=141
  [OFF 145/371] 需求符合=False 接受=True 累計呼叫=142
  [OFF 146/371] 需求符合=True 接受=True 累計呼叫=143
  [OFF 147/371] 需求符合=True 接受=True 累計呼叫=144
  [OFF 148/371] 需求符合=True 接受=True 累計呼叫=145
  [OFF 149/371] 需求符合=False 接受=True 累計呼叫=146
  [OFF 150/371] 需求符合=False 接受=True 累計呼叫=147
  [OFF 151/371] 需求符合=True 接受=True 累計呼叫=148
  [OFF 152/371] 需求符合=True 接受=True 累計呼叫=149
  [OFF 153/371] 需求符合=True 接受=True 累計呼叫=150
  [OFF 154/371] 需求符合=True 接受=True 累計呼叫=151
  [OFF 155/371] 需求符合=False 接受=True 累計呼叫=152
  [OFF 156/371] 需求符合=False 接受=True 累計呼叫=153
  [OFF 157/371] 需求符合=True 接受=True 累計呼叫=154
  [OFF 158/371] 需求符合=True 接受=True 累計呼叫=155
  [OFF 159/371] 需求符合=False 接受=True 累計呼叫=156
  [OFF 160/371] 需求符合=False 接受=True 累計呼叫=157
  [OFF 161/371] 需求符合=True 接受=True 累計呼叫=158
  [OFF 162/371] 需求符合=False 接受=True 累計呼叫=159
  [OFF 163/371] 需求符合=False 接受=True 累計呼叫=160
  [OFF 164/371] 需求符合=True 接受=True 累計呼叫=161
  [OFF 165/371] 需求符合=True 接受=True 累計呼叫=162
  [OFF 166/371] 需求符合=True 接受=True 累計呼叫=163
  [OFF 167/371] 需求符合=False 接受=True 累計呼叫=164
  [OFF 168/371] 需求符合=True 接受=True 累計呼叫=165
  [OFF 169/371] 需求符合=False 接受=True 累計呼叫=166
  [OFF 170/371] 需求符合=True 接受=True 累計呼叫=167
  [OFF 171/371] 需求符合=True 接受=True 累計呼叫=168
  [OFF 172/371] 需求符合=True 接受=True 累計呼叫=169
  [OFF 173/371] 需求符合=True 接受=True 累計呼叫=170
  [OFF 174/371] 需求符合=True 接受=True 累計呼叫=171
  [OFF 175/371] 需求符合=True 接受=True 累計呼叫=172
  [OFF 176/371] 需求符合=True 接受=True 累計呼叫=173
  [OFF 177/371] 需求符合=True 接受=True 累計呼叫=174
  [OFF 178/371] 需求符合=True 接受=True 累計呼叫=175
  [OFF 179/371] 需求符合=True 接受=True 累計呼叫=176
  [OFF 180/371] 需求符合=False 接受=True 累計呼叫=177
  [OFF 181/371] 需求符合=False 接受=True 累計呼叫=178
  [OFF 182/371] 需求符合=True 接受=True 累計呼叫=179
  [OFF 183/371] 需求符合=False 接受=True 累計呼叫=180
  [OFF 184/371] 需求符合=True 接受=True 累計呼叫=181
  [OFF 185/371] 需求符合=True 接受=True 累計呼叫=182
  [OFF 186/371] 需求符合=False 接受=True 累計呼叫=183
  [OFF 187/371] 需求符合=True 接受=True 累計呼叫=184
  [OFF 188/371] 需求符合=False 接受=True 累計呼叫=185
  [OFF 189/371] 需求符合=False 接受=True 累計呼叫=186
  [OFF 190/371] 需求符合=True 接受=True 累計呼叫=187
  [OFF 191/371] 需求符合=True 接受=True 累計呼叫=188
  [OFF 192/371] 需求符合=True 接受=True 累計呼叫=189
  [OFF 193/371] 需求符合=True 接受=True 累計呼叫=190
  [OFF 194/371] 需求符合=True 接受=True 累計呼叫=191
  [OFF 195/371] 需求符合=True 接受=True 累計呼叫=192
  [OFF 196/371] 需求符合=True 接受=True 累計呼叫=193
  [OFF 197/371] 需求符合=True 接受=True 累計呼叫=194
  [OFF 198/371] 需求符合=True 接受=True 累計呼叫=195
  [OFF 199/371] 需求符合=True 接受=True 累計呼叫=196
  [OFF 200/371] 需求符合=True 接受=True 累計呼叫=197
  [OFF 201/371] 需求符合=True 接受=True 累計呼叫=198
  [OFF 202/371] 需求符合=True 接受=True 累計呼叫=199
  [OFF 203/371] 需求符合=True 接受=True 累計呼叫=200
  [OFF 204/371] 需求符合=True 接受=True 累計呼叫=201
  [OFF 205/371] 需求符合=True 接受=True 累計呼叫=202
  [OFF 206/371] 需求符合=True 接受=True 累計呼叫=203
  [OFF 207/371] 需求符合=True 接受=True 累計呼叫=204
  [OFF 208/371] 需求符合=True 接受=True 累計呼叫=205
  [OFF 209/371] 需求符合=True 接受=True 累計呼叫=206
  [OFF 210/371] 需求符合=False 接受=True 累計呼叫=207
  [OFF 211/371] 需求符合=True 接受=True 累計呼叫=208
  [OFF 212/371] 需求符合=True 接受=True 累計呼叫=209
  [OFF 213/371] 需求符合=True 接受=True 累計呼叫=210
  [OFF 214/371] 需求符合=True 接受=True 累計呼叫=211
  [OFF 215/371] 需求符合=False 接受=True 累計呼叫=212
  [OFF 216/371] 需求符合=True 接受=True 累計呼叫=213
  [OFF 217/371] 需求符合=True 接受=True 累計呼叫=214
  [OFF 218/371] 需求符合=True 接受=True 累計呼叫=215
  [OFF 219/371] 需求符合=True 接受=True 累計呼叫=216
  [OFF 220/371] 需求符合=True 接受=True 累計呼叫=217
