預註冊閘門通過：DECISION_20260903_R440O_E3_LCB_PREREG.md 授權 g_r443_gemma_lcb
91 題（lcb）　輸出 runs/g_r443_gemma_lcb
── 量具驗證（先答已知答案）
   參考解通過 12/12　壞解被擋 12/12
── 模型池：6 個 agent／1 個模型家族
── 模型池預檢（每個 model 問一句，零容忍）
   gemma-4-12b-it-qat　回 2 字　✓
  [OFF 1/91] 需求符合=False 接受=True 累計呼叫=1
  [ON 1/91] 需求符合=False 接受=False 累計呼叫=5
  [OFF5 1/91] 需求符合=True 接受=True 累計呼叫=5
  [OFF 2/91] 需求符合=True 接受=True 累計呼叫=2
  [ON 2/91] 需求符合=True 接受=True 累計呼叫=10
  [OFF5 2/91] 需求符合=True 接受=True 累計呼叫=10
  [OFF 3/91] 需求符合=False 接受=True 累計呼叫=3
  [ON 3/91] 需求符合=True 接受=True 累計呼叫=15
  [OFF5 3/91] 需求符合=False 接受=True 累計呼叫=15
  [OFF 4/91] 需求符合=True 接受=True 累計呼叫=4
  [OFF5 4/91] 需求符合=True 接受=True 累計呼叫=20
  [OFF 5/91] 需求符合=False 接受=True 累計呼叫=5
  [ON 5/91] 需求符合=False 接受=True 累計呼叫=23
  [OFF5 5/91] 需求符合=False 接受=True 累計呼叫=25
  [OFF 6/91] 需求符合=True 接受=True 累計呼叫=6
  [ON 6/91] 需求符合=False 接受=False 累計呼叫=28
  [OFF5 6/91] 需求符合=False 接受=True 累計呼叫=30
  [OFF 7/91] 需求符合=False 接受=True 累計呼叫=7
  [ON 7/91] 需求符合=True 接受=True 累計呼叫=33
  [OFF5 7/91] 需求符合=True 接受=True 累計呼叫=35
  [OFF 8/91] 需求符合=True 接受=True 累計呼叫=8
  [ON 8/91] 需求符合=True 接受=True 累計呼叫=38
  [OFF5 8/91] 需求符合=False 接受=True 累計呼叫=40
  [OFF 9/91] 需求符合=False 接受=True 累計呼叫=9
  [ON 9/91] 需求符合=False 接受=True 累計呼叫=43
  [OFF5 9/91] 需求符合=True 接受=True 累計呼叫=45
  [OFF 10/91] 需求符合=True 接受=True 累計呼叫=10
  [ON 10/91] 需求符合=True 接受=True 累計呼叫=48
  [OFF5 10/91] 需求符合=False 接受=True 累計呼叫=50
  [OFF 11/91] 需求符合=True 接受=True 累計呼叫=11
  [ON 11/91] 需求符合=True 接受=True 累計呼叫=53
  [OFF5 11/91] 需求符合=True 接受=True 累計呼叫=55
  [OFF 12/91] 需求符合=False 接受=True 累計呼叫=12
  [ON 12/91] 需求符合=True 接受=True 累計呼叫=58
  [OFF5 12/91] 需求符合=True 接受=True 累計呼叫=60
  [OFF 13/91] 需求符合=False 接受=True 累計呼叫=13
  [ON 13/91] 需求符合=False 接受=False 累計呼叫=63
  [OFF5 13/91] 需求符合=True 接受=True 累計呼叫=65
  [OFF 14/91] 需求符合=False 接受=True 累計呼叫=14
  [ON 14/91] 需求符合=True 接受=True 累計呼叫=68
  [OFF5 14/91] 需求符合=True 接受=True 累計呼叫=70
  [OFF 15/91] 需求符合=True 接受=True 累計呼叫=15
  [ON 15/91] 需求符合=True 接受=True 累計呼叫=73
  [OFF5 15/91] 需求符合=True 接受=True 累計呼叫=75
  [OFF 16/91] 需求符合=True 接受=True 累計呼叫=16
  [OFF5 16/91] 需求符合=True 接受=True 累計呼叫=80
  [OFF 17/91] 需求符合=False 接受=True 累計呼叫=17
  [ON 17/91] 需求符合=True 接受=True 累計呼叫=79
  [OFF5 17/91] 需求符合=True 接受=True 累計呼叫=85
  [OFF 18/91] 需求符合=True 接受=True 累計呼叫=18
<unknown>:4: SyntaxWarning: invalid escape sequence '\l'
<unknown>:4: SyntaxWarning: invalid escape sequence '\l'
  [ON 18/91] 需求符合=True 接受=True 累計呼叫=84
  [OFF5 18/91] 需求符合=False 接受=True 累計呼叫=90
  [OFF 19/91] 需求符合=True 接受=True 累計呼叫=19
  [ON 19/91] 需求符合=True 接受=True 累計呼叫=89
  [OFF5 19/91] 需求符合=True 接受=True 累計呼叫=95
  [OFF 20/91] 需求符合=False 接受=True 累計呼叫=20
  [ON 20/91] 需求符合=False 接受=True 累計呼叫=94
  [OFF5 20/91] 需求符合=False 接受=True 累計呼叫=100
  [OFF 21/91] 需求符合=False 接受=True 累計呼叫=21
  [ON 21/91] 需求符合=True 接受=True 累計呼叫=99
  [OFF5 21/91] 需求符合=True 接受=True 累計呼叫=105
  [OFF 22/91] 需求符合=False 接受=True 累計呼叫=22
  [ON 22/91] 需求符合=False 接受=False 累計呼叫=104
  [OFF5 22/91] 需求符合=False 接受=True 累計呼叫=110
  [OFF 23/91] 需求符合=True 接受=True 累計呼叫=23
  [ON 23/91] 需求符合=True 接受=True 累計呼叫=109
  [OFF5 23/91] 需求符合=True 接受=True 累計呼叫=115
  [OFF 24/91] 需求符合=True 接受=True 累計呼叫=24
  [ON 24/91] 需求符合=True 接受=True 累計呼叫=114
  [OFF5 24/91] 需求符合=True 接受=True 累計呼叫=120
  [OFF 25/91] 需求符合=True 接受=True 累計呼叫=25
  [ON 25/91] 需求符合=True 接受=True 累計呼叫=119
  [OFF5 25/91] 需求符合=True 接受=True 累計呼叫=125
  [OFF 26/91] 需求符合=True 接受=True 累計呼叫=26
  [ON 26/91] 需求符合=True 接受=True 累計呼叫=124
  [OFF5 26/91] 需求符合=True 接受=True 累計呼叫=130
  [OFF 27/91] 需求符合=True 接受=True 累計呼叫=27
  [ON 27/91] 需求符合=True 接受=True 累計呼叫=129
  [OFF5 27/91] 需求符合=True 接受=True 累計呼叫=135
  [OFF 28/91] 需求符合=False 接受=True 累計呼叫=28
  [ON 28/91] 需求符合=False 接受=False 累計呼叫=134
  [OFF5 28/91] 需求符合=False 接受=True 累計呼叫=140
  [OFF 29/91] 需求符合=False 接受=True 累計呼叫=29
  [ON 29/91] 需求符合=True 接受=True 累計呼叫=139
  [OFF5 29/91] 需求符合=True 接受=True 累計呼叫=145
  [OFF 30/91] 需求符合=True 接受=True 累計呼叫=30
  [ON 30/91] 需求符合=True 接受=True 累計呼叫=144
  [OFF5 30/91] 需求符合=True 接受=True 累計呼叫=150
  [OFF 31/91] 需求符合=True 接受=True 累計呼叫=31
  [ON 31/91] 需求符合=True 接受=True 累計呼叫=149
  [OFF5 31/91] 需求符合=True 接受=True 累計呼叫=155
  [OFF 32/91] 需求符合=True 接受=True 累計呼叫=32
  [ON 32/91] 需求符合=True 接受=True 累計呼叫=154
  [OFF5 32/91] 需求符合=False 接受=True 累計呼叫=160
  [OFF 33/91] 需求符合=True 接受=True 累計呼叫=33
  [ON 33/91] 需求符合=False 接受=False 累計呼叫=159
  [OFF5 33/91] 需求符合=False 接受=True 累計呼叫=165
  [OFF 34/91] 需求符合=False 接受=True 累計呼叫=34
  [ON 34/91] 需求符合=False 接受=True 累計呼叫=164
  [OFF5 34/91] 需求符合=False 接受=True 累計呼叫=170
  [OFF 35/91] 需求符合=True 接受=True 累計呼叫=35
  [ON 35/91] 需求符合=True 接受=True 累計呼叫=169
  [OFF5 35/91] 需求符合=True 接受=True 累計呼叫=175
  [OFF 36/91] 需求符合=True 接受=True 累計呼叫=36
  [ON 36/91] 需求符合=True 接受=True 累計呼叫=174
  [OFF5 36/91] 需求符合=True 接受=True 累計呼叫=180
  [OFF 37/91] 需求符合=True 接受=True 累計呼叫=37
  [ON 37/91] 需求符合=True 接受=True 累計呼叫=179
  [OFF5 37/91] 需求符合=True 接受=True 累計呼叫=185
  [OFF 38/91] 需求符合=True 接受=True 累計呼叫=38
  [ON 38/91] 需求符合=True 接受=True 累計呼叫=184
  [OFF5 38/91] 需求符合=True 接受=True 累計呼叫=190
  [OFF 39/91] 需求符合=True 接受=True 累計呼叫=39
  [ON 39/91] 需求符合=True 接受=True 累計呼叫=189
  [OFF5 39/91] 需求符合=True 接受=True 累計呼叫=195
  [OFF 40/91] 需求符合=True 接受=True 累計呼叫=40
  [ON 40/91] 需求符合=True 接受=True 累計呼叫=194
  [OFF5 40/91] 需求符合=True 接受=True 累計呼叫=200
  [OFF 41/91] 需求符合=True 接受=True 累計呼叫=41
  [ON 41/91] 需求符合=True 接受=True 累計呼叫=199
  [OFF5 41/91] 需求符合=True 接受=True 累計呼叫=205
  [OFF 42/91] 需求符合=True 接受=True 累計呼叫=42
  [ON 42/91] 需求符合=True 接受=True 累計呼叫=204
  [OFF5 42/91] 需求符合=True 接受=True 累計呼叫=210
  [OFF 43/91] 需求符合=False 接受=True 累計呼叫=43
  [ON 43/91] 需求符合=True 接受=True 累計呼叫=209
  [OFF5 43/91] 需求符合=False 接受=True 累計呼叫=215
  [OFF 44/91] 需求符合=False 接受=True 累計呼叫=44
  [ON 44/91] 需求符合=False 接受=True 累計呼叫=214
  [OFF5 44/91] 需求符合=True 接受=True 累計呼叫=220
  [OFF 45/91] 需求符合=False 接受=True 累計呼叫=45
  [ON 45/91] 需求符合=True 接受=True 累計呼叫=219
  [OFF5 45/91] 需求符合=False 接受=True 累計呼叫=225
  [OFF 46/91] 需求符合=False 接受=True 累計呼叫=46
  [ON 46/91] 需求符合=True 接受=True 累計呼叫=224
  [OFF5 46/91] 需求符合=True 接受=True 累計呼叫=230
  [OFF 47/91] 需求符合=False 接受=True 累計呼叫=47
  [ON 47/91] 需求符合=False 接受=False 累計呼叫=229
  [OFF5 47/91] 需求符合=True 接受=True 累計呼叫=235
  [OFF 48/91] 需求符合=False 接受=True 累計呼叫=48
  [ON 48/91] 需求符合=False 接受=False 累計呼叫=234
  [OFF5 48/91] 需求符合=False 接受=True 累計呼叫=240
  [OFF 49/91] 需求符合=True 接受=True 累計呼叫=49
  [ON 49/91] 需求符合=True 接受=True 累計呼叫=239
  [OFF5 49/91] 需求符合=True 接受=True 累計呼叫=245
  [OFF 50/91] 需求符合=True 接受=True 累計呼叫=50
  [ON 50/91] 需求符合=True 接受=True 累計呼叫=244
  [OFF5 50/91] 需求符合=False 接受=True 累計呼叫=250
  [OFF 51/91] 需求符合=True 接受=True 累計呼叫=51
  [ON 51/91] 需求符合=False 接受=True 累計呼叫=249
  [OFF5 51/91] 需求符合=True 接受=True 累計呼叫=255
  [OFF 52/91] 需求符合=True 接受=True 累計呼叫=52
  [ON 52/91] 需求符合=True 接受=True 累計呼叫=254
  [OFF5 52/91] 需求符合=True 接受=True 累計呼叫=260
  [OFF 53/91] 需求符合=False 接受=True 累計呼叫=53
  [ON 53/91] 需求符合=False 接受=True 累計呼叫=259
  [OFF5 53/91] 需求符合=False 接受=True 累計呼叫=265
  [OFF 54/91] 需求符合=False 接受=True 累計呼叫=54
  [ON 54/91] 需求符合=False 接受=True 累計呼叫=264
  [OFF5 54/91] 需求符合=False 接受=True 累計呼叫=270
  [OFF 55/91] 需求符合=False 接受=True 累計呼叫=55
  [ON 55/91] 需求符合=True 接受=True 累計呼叫=269
  [OFF5 55/91] 需求符合=False 接受=True 累計呼叫=275
  [OFF 56/91] 需求符合=True 接受=True 累計呼叫=56
  [ON 56/91] 需求符合=True 接受=True 累計呼叫=274
  [OFF5 56/91] 需求符合=True 接受=True 累計呼叫=280
  [OFF 57/91] 需求符合=False 接受=True 累計呼叫=57
  [ON 57/91] 需求符合=False 接受=True 累計呼叫=279
  [OFF5 57/91] 需求符合=True 接受=True 累計呼叫=285
  [OFF 58/91] 需求符合=False 接受=True 累計呼叫=58
  [ON 58/91] 需求符合=True 接受=True 累計呼叫=284
  [OFF5 58/91] 需求符合=False 接受=True 累計呼叫=290
  [OFF 59/91] 需求符合=False 接受=True 累計呼叫=59
  [ON 59/91] 需求符合=False 接受=False 累計呼叫=289
  [OFF5 59/91] 需求符合=False 接受=True 累計呼叫=295
  [OFF 60/91] 需求符合=False 接受=True 累計呼叫=60
  [ON 60/91] 需求符合=False 接受=False 累計呼叫=294
  [OFF5 60/91] 需求符合=False 接受=True 累計呼叫=300
  [OFF 61/91] 需求符合=False 接受=True 累計呼叫=61
  [ON 61/91] 需求符合=True 接受=True 累計呼叫=299
  [OFF5 61/91] 需求符合=True 接受=True 累計呼叫=305
  [OFF 62/91] 需求符合=True 接受=True 累計呼叫=62
  [ON 62/91] 需求符合=True 接受=True 累計呼叫=304
  [OFF5 62/91] 需求符合=True 接受=True 累計呼叫=310
  [OFF 63/91] 需求符合=False 接受=True 累計呼叫=63
  [ON 63/91] 需求符合=True 接受=True 累計呼叫=309
  [OFF5 63/91] 需求符合=True 接受=True 累計呼叫=315
  [OFF 64/91] 需求符合=True 接受=True 累計呼叫=64
  [ON 64/91] 需求符合=True 接受=True 累計呼叫=314
  [OFF5 64/91] 需求符合=True 接受=True 累計呼叫=320
  [OFF 65/91] 需求符合=True 接受=True 累計呼叫=65
  [ON 65/91] 需求符合=False 接受=True 累計呼叫=319
  [OFF5 65/91] 需求符合=True 接受=True 累計呼叫=325
  [OFF 66/91] 需求符合=False 接受=True 累計呼叫=66
  [ON 66/91] 需求符合=False 接受=False 累計呼叫=324
  [OFF5 66/91] 需求符合=False 接受=True 累計呼叫=330
  [OFF 67/91] 需求符合=False 接受=True 累計呼叫=67
  [ON 67/91] 需求符合=False 接受=False 累計呼叫=329
  [OFF5 67/91] 需求符合=True 接受=True 累計呼叫=335
  [OFF 68/91] 需求符合=False 接受=True 累計呼叫=68
  [ON 68/91] 需求符合=True 接受=True 累計呼叫=334
  [OFF5 68/91] 需求符合=False 接受=True 累計呼叫=340
  [OFF 69/91] 需求符合=True 接受=True 累計呼叫=69
  [ON 69/91] 需求符合=True 接受=True 累計呼叫=339
  [OFF5 69/91] 需求符合=True 接受=True 累計呼叫=345
  [OFF 70/91] 需求符合=True 接受=True 累計呼叫=70
  [ON 70/91] 需求符合=True 接受=True 累計呼叫=344
  [OFF5 70/91] 需求符合=True 接受=True 累計呼叫=350
  [OFF 71/91] 需求符合=True 接受=True 累計呼叫=71
  [ON 71/91] 需求符合=True 接受=True 累計呼叫=349
  [OFF5 71/91] 需求符合=True 接受=True 累計呼叫=355
  [OFF 72/91] 需求符合=False 接受=True 累計呼叫=72
  [ON 72/91] 需求符合=True 接受=True 累計呼叫=354
  [OFF5 72/91] 需求符合=True 接受=True 累計呼叫=360
  [OFF 73/91] 需求符合=False 接受=True 累計呼叫=73
