預註冊閘門通過：DECISION_20260903_R445_CONFORM_BANK_EXTENSION.md 授權 g_r445_conform_mbpp_ext
192 題（evalplus　offset=179　題序 [179, 371)）　輸出 runs/g_r445_conform_mbpp_ext
── 量具驗證（先答已知答案）
   參考解通過 192/192　壞解被擋 192/192
   可見閘門（CONFORM 決策量具）參考解通過 192/192　樁被擋 192/192　覆蓋 192/192
── 模型池：6 個 agent／1 個模型家族
── 模型池預檢（每個 model 問一句，零容忍）
   gemma-4-12b-it-qat　回 2 字　✓
  [OFF 1/192] 需求符合=True 接受=True 累計呼叫=1
  [CONFORM 1/192] 需求符合=False 接受=True 累計呼叫=1
  [OFF5 1/192] 需求符合=True 接受=True 累計呼叫=5
  [OFF 2/192] 需求符合=True 接受=True 累計呼叫=2
  [CONFORM 2/192] 需求符合=True 接受=True 累計呼叫=2
  [OFF5 2/192] 需求符合=True 接受=True 累計呼叫=10
  [OFF 3/192] 需求符合=True 接受=True 累計呼叫=3
  [CONFORM 3/192] 需求符合=True 接受=True 累計呼叫=3
  [OFF5 3/192] 需求符合=True 接受=True 累計呼叫=15
  [OFF 4/192] 需求符合=False 接受=True 累計呼叫=4
  [CONFORM 4/192] 需求符合=True 接受=True 累計呼叫=5
  [OFF5 4/192] 需求符合=True 接受=True 累計呼叫=20
  [OFF 5/192] 需求符合=False 接受=True 累計呼叫=5
  [CONFORM 5/192] 需求符合=False 接受=True 累計呼叫=8
  [OFF5 5/192] 需求符合=False 接受=True 累計呼叫=25
  [OFF 6/192] 需求符合=True 接受=True 累計呼叫=6
  [CONFORM 6/192] 需求符合=True 接受=True 累計呼叫=9
  [OFF5 6/192] 需求符合=True 接受=True 累計呼叫=30
  [OFF 7/192] 需求符合=False 接受=True 累計呼叫=7
  [CONFORM 7/192] 需求符合=False 接受=False 累計呼叫=14
  [OFF5 7/192] 需求符合=False 接受=True 累計呼叫=35
  [OFF 8/192] 需求符合=True 接受=True 累計呼叫=8
  [CONFORM 8/192] 需求符合=True 接受=True 累計呼叫=15
  [OFF5 8/192] 需求符合=True 接受=True 累計呼叫=40
  [OFF 9/192] 需求符合=True 接受=True 累計呼叫=9
  [CONFORM 9/192] 需求符合=True 接受=True 累計呼叫=17
  [OFF5 9/192] 需求符合=True 接受=True 累計呼叫=45
  [OFF 10/192] 需求符合=True 接受=True 累計呼叫=10
  [CONFORM 10/192] 需求符合=True 接受=True 累計呼叫=18
  [OFF5 10/192] 需求符合=True 接受=True 累計呼叫=50
  [OFF 11/192] 需求符合=True 接受=True 累計呼叫=11
  [CONFORM 11/192] 需求符合=True 接受=True 累計呼叫=19
  [OFF5 11/192] 需求符合=True 接受=True 累計呼叫=55
  [OFF 12/192] 需求符合=True 接受=True 累計呼叫=12
  [CONFORM 12/192] 需求符合=True 接受=True 累計呼叫=20
  [OFF5 12/192] 需求符合=True 接受=True 累計呼叫=60
  [OFF 13/192] 需求符合=False 接受=True 累計呼叫=13
  [CONFORM 13/192] 需求符合=True 接受=True 累計呼叫=21
  [OFF5 13/192] 需求符合=True 接受=True 累計呼叫=65
  [OFF 14/192] 需求符合=True 接受=True 累計呼叫=14
  [CONFORM 14/192] 需求符合=True 接受=True 累計呼叫=22
  [OFF5 14/192] 需求符合=True 接受=True 累計呼叫=70
  [OFF 15/192] 需求符合=True 接受=True 累計呼叫=15
  [CONFORM 15/192] 需求符合=True 接受=True 累計呼叫=23
  [OFF5 15/192] 需求符合=True 接受=True 累計呼叫=75
  [OFF 16/192] 需求符合=False 接受=True 累計呼叫=16
  [CONFORM 16/192] 需求符合=True 接受=True 累計呼叫=24
  [OFF5 16/192] 需求符合=False 接受=True 累計呼叫=80
  [OFF 17/192] 需求符合=True 接受=True 累計呼叫=17
  [CONFORM 17/192] 需求符合=True 接受=True 累計呼叫=25
  [OFF5 17/192] 需求符合=True 接受=True 累計呼叫=85
  [OFF 18/192] 需求符合=True 接受=True 累計呼叫=18
  [CONFORM 18/192] 需求符合=True 接受=True 累計呼叫=26
  [OFF5 18/192] 需求符合=True 接受=True 累計呼叫=90
  [OFF 19/192] 需求符合=False 接受=True 累計呼叫=19
