預註冊閘門通過：DECISION_20260904_R446_EQUAL_BUDGET_ARM.md 授權 g_r446_eq5_mbpp
371 題（evalplus　offset=0　題序 [0, 371)）　輸出 runs/g_r446_eq5_mbpp
── 量具驗證（先答已知答案）
<unknown>:5: SyntaxWarning: invalid escape sequence '\w'
<unknown>:5: SyntaxWarning: invalid escape sequence '\w'
<unknown>:4: SyntaxWarning: invalid escape sequence '\.'
<unknown>:4: SyntaxWarning: invalid escape sequence '\.'
   參考解通過 371/371　壞解被擋 371/371
   可見閘門（CONFORM 決策量具）參考解通過 371/371　樁被擋 371/371　覆蓋 371/371
── 模型池：6 個 agent／1 個模型家族
── 模型池預檢（每個 model 問一句，零容忍）
   gemma-4-12b-it-qat　回 2 字　✓
  [EQ5 1/371] 需求符合=True 接受=True 累計呼叫=5
  [EQ5 2/371] 需求符合=True 接受=True 累計呼叫=10
  [EQ5 3/371] 需求符合=True 接受=True 累計呼叫=15
  [EQ5 4/371] 需求符合=False 接受=True 累計呼叫=20
  [EQ5 5/371] 需求符合=True 接受=True 累計呼叫=25
  [EQ5 6/371] 需求符合=True 接受=True 累計呼叫=30
  [EQ5 7/371] 需求符合=True 接受=True 累計呼叫=35
  [EQ5 8/371] 需求符合=False 接受=False 累計呼叫=40
  [EQ5 9/371] 需求符合=False 接受=False 累計呼叫=45
  [EQ5 10/371] 需求符合=False 接受=True 累計呼叫=50
  [EQ5 11/371] 需求符合=False 接受=False 累計呼叫=55
  [EQ5 12/371] 需求符合=True 接受=True 累計呼叫=60
  [EQ5 13/371] 需求符合=True 接受=True 累計呼叫=65
  [EQ5 14/371] 需求符合=True 接受=True 累計呼叫=70
  [EQ5 15/371] 需求符合=False 接受=True 累計呼叫=75
  [EQ5 16/371] 需求符合=False 接受=False 累計呼叫=80
  [EQ5 17/371] 需求符合=True 接受=True 累計呼叫=85
  [EQ5 18/371] 需求符合=True 接受=True 累計呼叫=90
  [EQ5 19/371] 需求符合=False 接受=True 累計呼叫=95
  [EQ5 20/371] 需求符合=True 接受=True 累計呼叫=100
  [EQ5 21/371] 需求符合=True 接受=True 累計呼叫=105
  [EQ5 22/371] 需求符合=True 接受=True 累計呼叫=110
  [EQ5 23/371] 需求符合=False 接受=False 累計呼叫=115
  [EQ5 24/371] 需求符合=True 接受=True 累計呼叫=120
  [EQ5 25/371] 需求符合=False 接受=True 累計呼叫=125
  [EQ5 26/371] 需求符合=True 接受=True 累計呼叫=130
  [EQ5 27/371] 需求符合=False 接受=True 累計呼叫=135
  [EQ5 28/371] 需求符合=True 接受=True 累計呼叫=140
  [EQ5 29/371] 需求符合=True 接受=True 累計呼叫=145
  [EQ5 30/371] 需求符合=True 接受=True 累計呼叫=150
  [EQ5 31/371] 需求符合=True 接受=True 累計呼叫=155
  [EQ5 32/371] 需求符合=True 接受=True 累計呼叫=160
  [EQ5 33/371] 需求符合=False 接受=True 累計呼叫=165
  [EQ5 34/371] 需求符合=True 接受=True 累計呼叫=170
  [EQ5 35/371] 需求符合=True 接受=True 累計呼叫=175
  [EQ5 36/371] 需求符合=True 接受=True 累計呼叫=180
  [EQ5 37/371] 需求符合=True 接受=True 累計呼叫=185
  [EQ5 38/371] 需求符合=True 接受=True 累計呼叫=190
  [EQ5 39/371] 需求符合=True 接受=True 累計呼叫=195
  [EQ5 40/371] 需求符合=False 接受=True 累計呼叫=200
  [EQ5 41/371] 需求符合=True 接受=True 累計呼叫=205
  [EQ5 42/371] 需求符合=True 接受=True 累計呼叫=210
  [EQ5 43/371] 需求符合=True 接受=True 累計呼叫=215
  [EQ5 44/371] 需求符合=True 接受=True 累計呼叫=220
  [EQ5 45/371] 需求符合=False 接受=True 累計呼叫=225
  [EQ5 46/371] 需求符合=True 接受=True 累計呼叫=230
  [EQ5 47/371] 需求符合=True 接受=True 累計呼叫=235
  [EQ5 48/371] 需求符合=True 接受=True 累計呼叫=240
  [EQ5 49/371] 需求符合=True 接受=True 累計呼叫=245
  [EQ5 50/371] 需求符合=True 接受=True 累計呼叫=250
  [EQ5 51/371] 需求符合=True 接受=True 累計呼叫=255
  [EQ5 52/371] 需求符合=False 接受=True 累計呼叫=260
