預註冊閘門通過：DECISION_20260904_R440Z_LCB2_PREREG.md 授權 g_r447_conform_lcb2
120 題（lcb2　offset=0　題序 [0, 120)）　輸出 runs/g_r447_conform_lcb2
── 量具驗證（先答已知答案）
   參考解通過 12/12　壞解被擋 12/12
   可見閘門（CONFORM 決策量具）參考解通過 12/12　樁被擋 12/12　覆蓋 12/12
── 模型池：6 個 agent／1 個模型家族
── 模型池預檢（每個 model 問一句，零容忍）
   gemma-4-12b-it-qat　回 2 字　✓
  [OFF 1/120] 需求符合=False 接受=True 累計呼叫=1
  [CONFORM 1/120] 需求符合=False 接受=True 累計呼叫=1
  [OFF5 1/120] 需求符合=True 接受=True 累計呼叫=5
  [OFF 2/120] 需求符合=False 接受=True 累計呼叫=2
  [CONFORM 2/120] 需求符合=False 接受=True 累計呼叫=2
  [OFF5 2/120] 需求符合=False 接受=True 累計呼叫=10
  [OFF 3/120] 需求符合=False 接受=True 累計呼叫=3
  [CONFORM 3/120] 需求符合=True 接受=True 累計呼叫=3
  [OFF5 3/120] 需求符合=True 接受=True 累計呼叫=15
  [OFF 4/120] 需求符合=True 接受=True 累計呼叫=4
  [CONFORM 4/120] 需求符合=True 接受=True 累計呼叫=4
  [OFF5 4/120] 需求符合=True 接受=True 累計呼叫=20
  [OFF 5/120] 需求符合=False 接受=True 累計呼叫=5
  [CONFORM 5/120] 需求符合=False 接受=True 累計呼叫=6
  [OFF5 5/120] 需求符合=False 接受=True 累計呼叫=25
  [OFF 6/120] 需求符合=False 接受=True 累計呼叫=6
  [CONFORM 6/120] 需求符合=True 接受=True 累計呼叫=7
  [OFF5 6/120] 需求符合=False 接受=True 累計呼叫=30
  [OFF 7/120] 需求符合=True 接受=True 累計呼叫=7
  [CONFORM 7/120] 需求符合=True 接受=True 累計呼叫=8
  [OFF5 7/120] 需求符合=True 接受=True 累計呼叫=35
  [OFF 8/120] 需求符合=True 接受=True 累計呼叫=8
  [CONFORM 8/120] 需求符合=True 接受=True 累計呼叫=9
  [OFF5 8/120] 需求符合=False 接受=True 累計呼叫=40
  [OFF 9/120] 需求符合=False 接受=True 累計呼叫=9
  [CONFORM 9/120] 需求符合=False 接受=True 累計呼叫=10
  [OFF5 9/120] 需求符合=False 接受=True 累計呼叫=45
  [OFF 10/120] 需求符合=True 接受=True 累計呼叫=10
  [CONFORM 10/120] 需求符合=True 接受=True 累計呼叫=12
  [OFF5 10/120] 需求符合=True 接受=True 累計呼叫=50
  [OFF 11/120] 需求符合=True 接受=True 累計呼叫=11
  [CONFORM 11/120] 需求符合=False 接受=True 累計呼叫=13
  [OFF5 11/120] 需求符合=True 接受=True 累計呼叫=55
  [OFF 12/120] 需求符合=True 接受=True 累計呼叫=12
  [CONFORM 12/120] 需求符合=True 接受=True 累計呼叫=14
  [OFF5 12/120] 需求符合=True 接受=True 累計呼叫=60
  [OFF 13/120] 需求符合=False 接受=True 累計呼叫=13
  [CONFORM 13/120] 需求符合=False 接受=False 累計呼叫=19
  [OFF5 13/120] 需求符合=False 接受=True 累計呼叫=65
  [OFF 14/120] 需求符合=False 接受=True 累計呼叫=14
  [CONFORM 14/120] 需求符合=False 接受=True 累計呼叫=21
  [OFF5 14/120] 需求符合=False 接受=True 累計呼叫=70
  [OFF 15/120] 需求符合=False 接受=True 累計呼叫=15
  [CONFORM 15/120] 需求符合=False 接受=False 累計呼叫=26
  [OFF5 15/120] 需求符合=True 接受=True 累計呼叫=75
  [OFF 16/120] 需求符合=True 接受=True 累計呼叫=16
  [CONFORM 16/120] 需求符合=True 接受=True 累計呼叫=27
  [OFF5 16/120] 需求符合=False 接受=True 累計呼叫=80
  [OFF 17/120] 需求符合=False 接受=True 累計呼叫=17
  [CONFORM 17/120] 需求符合=True 接受=True 累計呼叫=28
  [OFF5 17/120] 需求符合=False 接受=True 累計呼叫=85
  [OFF 18/120] 需求符合=False 接受=True 累計呼叫=18
  [CONFORM 18/120] 需求符合=True 接受=True 累計呼叫=30
  [OFF5 18/120] 需求符合=True 接受=True 累計呼叫=90
  [OFF 19/120] 需求符合=False 接受=True 累計呼叫=19
  [CONFORM 19/120] 需求符合=False 接受=True 累計呼叫=34
