預註冊閘門通過：DECISION_20260906_R449C_EQ5_LCB3_PREREG.md 授權 g_r449c_eq5_lcb3
189 題（lcb3　offset=0　題序 [0, 189)）　輸出 runs/g_r449c_eq5_lcb3
── 量具驗證（先答已知答案）
   參考解通過 12/12　壞解被擋 12/12
   可見閘門（CONFORM 決策量具）參考解通過 12/12　樁被擋 12/12　覆蓋 12/12
── 模型池：6 個 agent／1 個模型家族
── 模型池預檢（每個 model 問一句，零容忍）
   gemma-4-12b-it-qat　回 2 字　✓
  [EQ5 1/189] 需求符合=True 接受=True 累計呼叫=5
  [EQ5 2/189] 需求符合=True 接受=True 累計呼叫=10
  [EQ5 3/189] 需求符合=True 接受=True 累計呼叫=15
  [EQ5 4/189] 需求符合=True 接受=True 累計呼叫=20
  [EQ5 5/189] 需求符合=True 接受=True 累計呼叫=25
  [EQ5 6/189] 需求符合=False 接受=True 累計呼叫=30
  [EQ5 7/189] 需求符合=True 接受=True 累計呼叫=35
  [EQ5 8/189] 需求符合=True 接受=True 累計呼叫=40
  [EQ5 9/189] 需求符合=True 接受=True 累計呼叫=45
  [EQ5 10/189] 需求符合=True 接受=True 累計呼叫=50
  [EQ5 11/189] 需求符合=True 接受=True 累計呼叫=55
  [EQ5 12/189] 需求符合=True 接受=True 累計呼叫=60
  [EQ5 13/189] 需求符合=True 接受=True 累計呼叫=65
  [EQ5 14/189] 需求符合=True 接受=True 累計呼叫=70
  [EQ5 15/189] 需求符合=False 接受=True 累計呼叫=75
  [EQ5 16/189] 需求符合=True 接受=True 累計呼叫=80
  [EQ5 17/189] 需求符合=True 接受=True 累計呼叫=85
  [EQ5 18/189] 需求符合=True 接受=True 累計呼叫=90
  [EQ5 19/189] 需求符合=True 接受=True 累計呼叫=95
  [EQ5 20/189] 需求符合=True 接受=True 累計呼叫=100
  [EQ5 21/189] 需求符合=False 接受=True 累計呼叫=105
  [EQ5 22/189] 需求符合=True 接受=True 累計呼叫=110
  [EQ5 23/189] 需求符合=True 接受=True 累計呼叫=115
  [EQ5 24/189] 需求符合=False 接受=True 累計呼叫=120
  [EQ5 25/189] 需求符合=True 接受=True 累計呼叫=125
  [EQ5 26/189] 需求符合=True 接受=True 累計呼叫=130
  [EQ5 27/189] 需求符合=True 接受=True 累計呼叫=135
  [EQ5 28/189] 需求符合=True 接受=True 累計呼叫=140
  [EQ5 29/189] 需求符合=True 接受=True 累計呼叫=145
  [EQ5 30/189] 需求符合=True 接受=True 累計呼叫=150
  [EQ5 31/189] 需求符合=False 接受=False 累計呼叫=155
  [EQ5 32/189] 需求符合=True 接受=True 累計呼叫=160
  [EQ5 33/189] 需求符合=False 接受=True 累計呼叫=165
  [EQ5 34/189] 需求符合=True 接受=True 累計呼叫=170
  [EQ5 35/189] 需求符合=True 接受=True 累計呼叫=175
  [EQ5 36/189] 需求符合=True 接受=True 累計呼叫=180
  [EQ5 37/189] 需求符合=True 接受=True 累計呼叫=185
  [EQ5 38/189] 需求符合=True 接受=True 累計呼叫=190
  [EQ5 39/189] 需求符合=True 接受=True 累計呼叫=195
  [EQ5 40/189] 需求符合=True 接受=True 累計呼叫=200
  [EQ5 41/189] 需求符合=True 接受=True 累計呼叫=205
  [EQ5 42/189] 需求符合=True 接受=True 累計呼叫=210
  [EQ5 43/189] 需求符合=True 接受=True 累計呼叫=215
  [EQ5 44/189] 需求符合=True 接受=True 累計呼叫=220
  [EQ5 45/189] 需求符合=True 接受=True 累計呼叫=225
  [EQ5 46/189] 需求符合=True 接受=True 累計呼叫=230
  [EQ5 47/189] 需求符合=True 接受=True 累計呼叫=235
  [EQ5 48/189] 需求符合=True 接受=True 累計呼叫=240
  [EQ5 49/189] 需求符合=True 接受=True 累計呼叫=245
  [EQ5 50/189] 需求符合=True 接受=True 累計呼叫=250
  [EQ5 51/189] 需求符合=True 接受=True 累計呼叫=255
  [EQ5 52/189] 需求符合=True 接受=True 累計呼叫=260
  [EQ5 53/189] 需求符合=True 接受=True 累計呼叫=265
  [EQ5 54/189] 需求符合=True 接受=True 累計呼叫=270
  [EQ5 55/189] 需求符合=True 接受=True 累計呼叫=275
  [EQ5 56/189] 需求符合=True 接受=True 累計呼叫=280
