預註冊閘門通過：DECISION_20260904_R461_LCB3_REPLICATION_PREREG.md 授權 g_r461_off_gate_lcb3
189 題（lcb3　offset=0　題序 [0, 189)）　輸出 runs/g_r461_off_gate_lcb3
── 量具驗證（先答已知答案）
   參考解通過 12/12　壞解被擋 12/12
   可見閘門（CONFORM 決策量具）參考解通過 12/12　樁被擋 12/12　覆蓋 12/12
── 模型池：6 個 agent／1 個模型家族
── 模型池預檢（每個 model 問一句，零容忍）
   gemma-4-12b-it-qat　回 2 字　✓
  [OFF 1/189] 需求符合=True 接受=True 累計呼叫=1
  [OFF 2/189] 需求符合=False 接受=True 累計呼叫=2
  [OFF 3/189] 需求符合=False 接受=True 累計呼叫=3
  [OFF 4/189] 需求符合=True 接受=True 累計呼叫=4
  [OFF 5/189] 需求符合=True 接受=True 累計呼叫=5
  [OFF 6/189] 需求符合=True 接受=True 累計呼叫=6
  [OFF 7/189] 需求符合=True 接受=True 累計呼叫=7
  [OFF 8/189] 需求符合=True 接受=True 累計呼叫=8
  [OFF 9/189] 需求符合=True 接受=True 累計呼叫=9
  [OFF 10/189] 需求符合=False 接受=True 累計呼叫=10
  [OFF 11/189] 需求符合=False 接受=True 累計呼叫=11
  [OFF 12/189] 需求符合=False 接受=True 累計呼叫=12
  [OFF 13/189] 需求符合=True 接受=True 累計呼叫=13
  [OFF 14/189] 需求符合=True 接受=True 累計呼叫=14
  [OFF 15/189] 需求符合=False 接受=True 累計呼叫=15
  [OFF 16/189] 需求符合=True 接受=True 累計呼叫=16
  [OFF 17/189] 需求符合=True 接受=True 累計呼叫=17
  [OFF 18/189] 需求符合=True 接受=True 累計呼叫=18
  [OFF 19/189] 需求符合=False 接受=True 累計呼叫=19
  [OFF 20/189] 需求符合=True 接受=True 累計呼叫=20
  [OFF 21/189] 需求符合=True 接受=True 累計呼叫=21
  [OFF 22/189] 需求符合=True 接受=True 累計呼叫=22
  [OFF 23/189] 需求符合=True 接受=True 累計呼叫=23
  [OFF 24/189] 需求符合=True 接受=True 累計呼叫=24
  [OFF 25/189] 需求符合=True 接受=True 累計呼叫=25
  [OFF 26/189] 需求符合=True 接受=True 累計呼叫=26
  [OFF 27/189] 需求符合=True 接受=True 累計呼叫=27
  [OFF 28/189] 需求符合=True 接受=True 累計呼叫=28
  [OFF 29/189] 需求符合=True 接受=True 累計呼叫=29
  [OFF 30/189] 需求符合=False 接受=True 累計呼叫=30
  [OFF 31/189] 需求符合=True 接受=True 累計呼叫=31
  [OFF 32/189] 需求符合=False 接受=True 累計呼叫=32
  [OFF 33/189] 需求符合=True 接受=True 累計呼叫=33
  [OFF 34/189] 需求符合=True 接受=True 累計呼叫=34
  [OFF 35/189] 需求符合=True 接受=True 累計呼叫=35
  [OFF 36/189] 需求符合=False 接受=True 累計呼叫=36
  [OFF 37/189] 需求符合=False 接受=True 累計呼叫=37
  [OFF 38/189] 需求符合=True 接受=True 累計呼叫=38
  [OFF 39/189] 需求符合=True 接受=True 累計呼叫=39
  [OFF 40/189] 需求符合=True 接受=True 累計呼叫=40
  [OFF 41/189] 需求符合=False 接受=True 累計呼叫=41
  [OFF 42/189] 需求符合=True 接受=True 累計呼叫=42
  [OFF 43/189] 需求符合=True 接受=True 累計呼叫=43
  [OFF 44/189] 需求符合=True 接受=True 累計呼叫=44
  [OFF 45/189] 需求符合=False 接受=True 累計呼叫=45
  [OFF 46/189] 需求符合=True 接受=True 累計呼叫=46
  [OFF 47/189] 需求符合=True 接受=True 累計呼叫=47
  [OFF 48/189] 需求符合=False 接受=True 累計呼叫=48
  [OFF 49/189] 需求符合=True 接受=True 累計呼叫=49
  [OFF 50/189] 需求符合=True 接受=True 累計呼叫=50
  [OFF 51/189] 需求符合=True 接受=True 累計呼叫=51
  [OFF 52/189] 需求符合=False 接受=True 累計呼叫=52
  [OFF 53/189] 需求符合=False 接受=True 累計呼叫=53
  [OFF 54/189] 需求符合=True 接受=True 累計呼叫=54
  [OFF 55/189] 需求符合=True 接受=True 累計呼叫=55
  [OFF 56/189] 需求符合=False 接受=True 累計呼叫=56
  [OFF 57/189] 需求符合=True 接受=True 累計呼叫=57
