cell | agent | exit | accepted | stop | rs | rc | vis | hidden(事後) | agent_s | tok_out | reas
lcb_3522_pi | pi | 20 | False | visible_fail | 4 | 0 | 0/1 | no_solution | 708.2 | 16525 | 84 | no_delivery
lcb_3583_pi | pi | 0 | True | visible_pass | 8 | 0 | 3/3 | 27/27 | 207.8 | 5492 | 2312 | -
lcb_3584_pi | pi | 20 | False | visible_fail | 4 | 0 | 0/1 | no_solution | 504.9 | 16485 | 16421 | no_delivery
lcb_3637_pi | pi | 0 | True | visible_pass | 7 | 0 | 3/3 | 27/27 | 432.8 | 11514 | 9211 | -
lcb_3654_pi | pi | 0 | True | visible_pass | 9 | 0 | 2/2 | 26/26 | 215.9 | 7930 | 5486 | -
lcb_3681_pi | pi | 0 | True | visible_pass | 7 | 0 | 3/3 | 27/27 | 69.2 | 2656 | 1262 | -
lcb_3686_pi | pi | 20 | False | visible_fail | 4 | 0 | 0/1 | no_solution | 321.0 | 16470 | 16406 | no_delivery
lcb_3700_pi | pi | 20 | False | visible_fail | 4 | 0 | 0/1 | no_solution | 283.9 | 16485 | 16421 | no_delivery
lcb_3764_pi | pi | 0 | True | visible_pass | 7 | 0 | 2/2 | 26/26 | 54.3 | 1895 | 1076 | -
lcb_3794_pi | pi | 20 | False | visible_fail | 4 | 0 | 0/1 | no_solution | 365.2 | 16472 | 16408 | no_delivery
lcb_3522_claude | claude | 0 | True | visible_pass | 5 | 0 | 3/3 | 27/27 | 27.6 | 849 | 0 | -
lcb_3583_claude | claude | 20 | False | visible_fail | 5 | 0 | 0/1 | import_error | 50.3 | 1594 | 0 | no_delivery
lcb_3584_claude | claude | 0 | True | visible_pass | 5 | 0 | 4/4 | 28/28 | 105.3 | 1446 | 0 | -
lcb_3637_claude | claude | 0 | True | visible_pass | 6 | 0 | 3/3 | 27/27 | 115.0 | 2569 | 0 | -
lcb_3654_claude | claude | 20 | False | visible_fail | 5 | 0 | 0/2 | 14/26 | 164.3 | 2504 | 0 | true_refuse
lcb_3681_claude | claude | 0 | True | visible_pass | 5 | 0 | 3/3 | 27/27 | 52.4 | 1052 | 0 | -
lcb_3686_claude | claude | 0 | True | visible_pass | 5 | 0 | 2/2 | 26/26 | 53.4 | 810 | 0 | -
lcb_3700_claude | claude | 20 | False | visible_fail | 10 | -9 | 1/3 | 17/27 | 900.0 | 21719 | 0 | timeout_killed,true_refuse
lcb_3764_claude | claude | 0 | True | visible_pass | 5 | 0 | 2/2 | 26/26 | 65.4 | 789 | 0 | -
lcb_3794_claude | claude | 0 | True | visible_pass | 6 | 0 | 3/3 | 27/27 | 310.8 | 9157 | 0 | -
lcb_3522_opencode | opencode | 0 | True | visible_pass | 14 | 0 | 3/3 | 27/27 | 149.8 | 3350 | 1037 | -
lcb_3583_opencode | opencode | 0 | True | visible_pass | 9 | 0 | 3/3 | 27/27 | 225.6 | 4673 | 2194 | -
lcb_3584_opencode | opencode | 20 | False | visible_fail | 7 | -9 | 0/1 | no_solution | 900.0 | 838 | 679 | timeout_killed,no_delivery
lcb_3637_opencode | opencode | 0 | True | visible_pass | 9 | 0 | 3/3 | 27/27 | 160.5 | 5312 | 811 | -
lcb_3654_opencode | opencode | 20 | False | visible_fail | 9 | 0 | 0/2 | 4/26 | 244.7 | 8797 | 540 | true_refuse
lcb_3681_opencode | opencode | 0 | True | visible_pass | 7 | 0 | 3/3 | 27/27 | 46.3 | 1769 | 638 | -
lcb_3686_opencode | opencode | 0 | True | visible_pass | 12 | 0 | 2/2 | 26/26 | 261.2 | 10918 | 494 | -
lcb_3700_opencode | opencode | 20 | False | visible_fail | 6 | 0 | 0/1 | no_solution | 615.0 | 32678 | 488 | no_delivery
lcb_3764_opencode | opencode | 0 | True | visible_pass | 9 | 0 | 2/2 | 26/26 | 82.1 | 2473 | 470 | -
lcb_3794_opencode | opencode | 0 | True | visible_pass | 10 | 0 | 3/3 | 27/27 | 272.5 | 13659 | 657 | -
