cell | agent | exit | accepted | stop | rs | rc | vis | hidden(事後) | agent_s | tok_out | reas
lcb_3522_pi | pi | 0 | True | visible_pass | 6 | 0 | 3/3 | 27/27 | 163.4 | 816 | 0 | -
lcb_3583_pi | pi | 0 | True | visible_pass | 7 | 0 | 3/3 | 27/27 | 164.3 | 3772 | 0 | -
lcb_3584_pi | pi | 0 | True | visible_pass | 15 | 0 | 4/4 | 28/28 | 611.4 | 8010 | 0 | -
lcb_3637_pi | pi | 20 | False | visible_fail | 17 | -9 | 0/1 | no_solution | 900.0 | 11506 | 0 | timeout_killed,no_delivery
lcb_3654_pi | pi | 0 | True | visible_pass | 13 | 0 | 2/2 | 26/26 | 241.4 | 6348 | 0 | -
lcb_3681_pi | pi | 0 | True | visible_pass | 6 | 0 | 3/3 | 27/27 | 53.9 | 925 | 0 | -
lcb_3686_pi | pi | 0 | True | visible_pass | 8 | 0 | 2/2 | 26/26 | 159.3 | 2774 | 0 | -
lcb_3700_pi | pi | 20 | False | visible_fail | 37 | -9 | 0/1 | no_solution | 900.0 | 45742 | 0 | timeout_killed,no_delivery
lcb_3764_pi | pi | 0 | True | visible_pass | 6 | 0 | 2/2 | 26/26 | 17.0 | 867 | 0 | -
lcb_3794_pi | pi | 0 | True | visible_pass | 7 | 0 | 3/3 | 27/27 | 52.3 | 3278 | 0 | -
lcb_3522_claude | claude | 0 | True | visible_pass | 5 | 0 | 3/3 | 27/27 | 121.8 | 637 | 0 | -
lcb_3583_claude | claude | 20 | False | visible_fail | 5 | 0 | 0/1 | import_error | 102.9 | 2044 | 0 | no_delivery
lcb_3584_claude | claude | 20 | False | visible_fail | 6 | 0 | 2/4 | 25/28 | 776.2 | 10811 | 0 | true_refuse
lcb_3637_claude | claude | 0 | True | visible_pass | 7 | 0 | 3/3 | 27/27 | 235.6 | 3186 | 0 | -
lcb_3654_claude | claude | 0 | True | visible_pass | 6 | 0 | 2/2 | 26/26 | 200.5 | 2828 | 0 | -
lcb_3681_claude | claude | 0 | True | visible_pass | 5 | 0 | 3/3 | 27/27 | 101.0 | 861 | 0 | -
lcb_3686_claude | claude | 0 | True | visible_pass | 6 | 0 | 2/2 | 26/26 | 164.4 | 764 | 0 | -
lcb_3700_claude | claude | 20 | False | visible_fail | 9 | 0 | 2/3 | 18/27 | 467.6 | 11165 | 0 | true_refuse
lcb_3764_claude | claude | 0 | True | visible_pass | 5 | 0 | 2/2 | 26/26 | 62.8 | 802 | 0 | -
lcb_3794_claude | claude | 0 | True | visible_pass | 6 | 0 | 3/3 | 27/27 | 298.1 | 11522 | 0 | -
lcb_3522_opencode | opencode | 0 | True | visible_pass | 7 | 0 | 3/3 | 27/27 | 98.3 | 444 | 0 | -
lcb_3583_opencode | opencode | 0 | True | visible_pass | 9 | 0 | 3/3 | 27/27 | 182.9 | 2492 | 0 | -
lcb_3584_opencode | opencode | 0 | True | visible_pass | 8 | 0 | 4/4 | 28/28 | 188.3 | 6744 | 0 | -
lcb_3637_opencode | opencode | 0 | True | visible_pass | 7 | 0 | 3/3 | 27/27 | 94.8 | 2131 | 0 | -
lcb_3654_opencode | opencode | 0 | True | visible_pass | 7 | 0 | 2/2 | 26/26 | 53.0 | 1391 | 0 | -
lcb_3681_opencode | opencode | 0 | True | visible_pass | 5 | 0 | 3/3 | 27/27 | 39.9 | 835 | 0 | -
lcb_3686_opencode | opencode | 0 | True | visible_pass | 8 | 0 | 2/2 | 26/26 | 36.4 | 567 | 0 | -
lcb_3700_opencode | opencode | 20 | False | visible_fail | 7 | -9 | 0/1 | no_solution | 900.0 | 201 | 0 | timeout_killed,no_delivery
lcb_3764_opencode | opencode | 0 | True | visible_pass | 7 | 0 | 2/2 | 26/26 | 98.0 | 524 | 0 | -
lcb_3794_opencode | opencode | 0 | True | visible_pass | 14 | 0 | 3/3 | 27/27 | 253.3 | 5741 | 0 | -
