── S3 ──
  blind=0.0·(1,3)        得手 2.3667  曝光 8.4667  效率 0.2488  有效n   5
  blind=0.0·(1,10)       得手 1.8667  曝光 16.0667  效率 0.1026  有效n   5
  blind=0.0·(1,20)       得手 1.8333  曝光   24.5  效率 0.0685  有效n   4
  blind=0.0·(2,3)        得手    2.4  曝光 6.3333  效率 0.3436  有效n   6
  blind=0.0·(2,10)       得手 2.3667  曝光 10.7667  效率 0.197  有效n   6
  blind=0.0·(2,20)       得手 2.1333  曝光   16.9  效率 0.1238  有效n   5
  blind=0.0·(3,3)        得手 2.5667  曝光 6.1667  效率 0.3748  有效n   6
  blind=0.0·(3,10)       得手 2.3667  曝光 9.5667  效率 0.2257  有效n   6
  blind=0.0·(3,20)       得手 2.5333  曝光   14.7  效率 0.1776  有效n   6
  blind=0.0·(5,3)        得手 2.5667  曝光 6.1333  效率 0.3777  有效n   6
  blind=0.0·(5,10)       得手 2.4667  曝光 6.1333  效率 0.3628  有效n   6
  blind=0.0·(5,20)       得手 2.5333  曝光 6.3667  效率 0.361  有效n   6
  blind=0.0·(8,3)        得手    2.4  曝光    6.1  效率 0.3574  有效n   5
  blind=0.0·(8,10)       得手 2.5333  曝光    6.2  效率 0.3676  有效n   6
  blind=0.0·(8,20)       得手 2.4333  曝光 6.1333  效率 0.358  有效n   6
  blind=0.5·(1,3)        得手    4.5  曝光 17.1667  效率 0.2372  有效n  12
  blind=0.5·(1,10)       得手 2.9333  曝光 26.9667  效率 0.1011  有效n   6
  blind=0.5·(1,20)       得手 2.8333  曝光 47.4333  效率 0.0563  有效n   6
  blind=0.5·(2,3)        得手 4.4667  曝光   11.3  效率 0.3516  有效n  11
  blind=0.5·(2,10)       得手 4.0333  曝光 19.7667  效率 0.192  有效n   9
  blind=0.5·(2,20)       得手 3.8667  曝光   34.6  效率 0.1162  有效n   8
  blind=0.5·(3,3)        得手 4.3667  曝光 9.0667  效率 0.421  有效n  11
  blind=0.5·(3,10)       得手 4.2667  曝光   14.9  效率 0.2617  有效n  10
  blind=0.5·(3,20)       得手    3.8  曝光 21.8333  效率 0.1806  有效n   9
  blind=0.5·(5,3)        得手 4.4333  曝光 8.0333  效率 0.4754  有效n  11
  blind=0.5·(5,10)       得手 4.3333  曝光 10.9667  效率 0.3683  有效n  11
  blind=0.5·(5,20)       得手    4.5  曝光 17.2667  效率 0.2723  有效n  12
  blind=0.5·(8,3)        得手 4.2333  曝光 7.8333  效率 0.4706  有效n  10
  blind=0.5·(8,10)       得手 4.8667  曝光    9.9  效率 0.4348  有效n  11
  blind=0.5·(8,20)       得手 5.1333  曝光   12.8  效率 0.3833  有效n  12
  blind=0.7·(1,3)        得手 5.6333  曝光   21.6  效率 0.2412  有效n  12
  blind=0.7·(1,10)       得手 4.7667  曝光 46.6667  效率 0.0982  有效n  10
  blind=0.7·(1,20)       得手 3.1333  曝光 51.7667  效率 0.0589  有效n   6
  blind=0.7·(2,3)        得手 7.7667  曝光   19.2  效率 0.3627  有效n  14
  blind=0.7·(2,10)       得手 6.1667  曝光   31.9  效率 0.186  有效n  12
  blind=0.7·(2,20)       得手 5.4333  曝光 49.4333  效率 0.113  有效n  11
  blind=0.7·(3,3)        得手    7.3  曝光 14.4333  效率 0.4463  有效n  14
  blind=0.7·(3,10)       得手 6.6333  曝光   24.9  效率 0.258  有效n  15
  blind=0.7·(3,20)       得手    5.3  曝光 33.8667  效率 0.1697  有效n  12
  blind=0.7·(5,3)        得手 7.4333  曝光 11.8667  效率 0.5497  有效n  15
  blind=0.7·(5,10)       得手    6.9  曝光   17.5  效率 0.3719  有效n  14
  blind=0.7·(5,20)       得手 7.6333  曝光 31.1333  效率 0.2542  有效n  15
  blind=0.7·(8,3)        得手    7.5  曝光 11.2667  效率 0.5706  有效n  15
  blind=0.7·(8,10)       得手    7.7  曝光 15.0667  效率 0.4671  有效n  14
  blind=0.7·(8,20)       得手 7.3667  曝光 17.6667  效率 0.4179  有效n  15
  blind=0.3·(1,3)        得手 3.1667  曝光 11.8333  效率 0.2424  有效n   7
  blind=0.3·(1,10)       得手    2.5  曝光 21.8333  效率 0.107  有效n   6
  blind=0.3·(1,20)       得手 2.2667  曝光 37.6333  效率 0.0581  有效n   6
  blind=0.3·(2,3)        得手 3.3333  曝光 8.6333  效率 0.3443  有效n   9
  blind=0.3·(2,10)       得手 3.2667  曝光 15.5333  效率 0.1974  有效n   9
  blind=0.3·(2,20)       得手 2.9667  曝光 24.8333  效率 0.1231  有效n   8
  blind=0.3·(3,3)        得手 3.0333  曝光      7  效率 0.3859  有效n   8
  blind=0.3·(3,10)       得手 2.9667  曝光 11.1667  效率 0.246  有效n   7
  blind=0.3·(3,20)       得手 3.0333  曝光     17  效率 0.1871  有效n   7
  blind=0.3·(5,3)        得手    3.2  曝光 6.8333  效率 0.4151  有效n   8
  blind=0.3·(5,10)       得手    3.2  曝光      8  效率 0.3687  有效n   8
  blind=0.3·(5,20)       得手    3.2  曝光 9.7333  效率 0.3417  有效n   8
  blind=0.3·(8,3)        得手 3.2333  曝光 6.8667  效率 0.4176  有效n   9
  blind=0.3·(8,10)       得手 3.3333  曝光 7.2667  效率 0.4056  有效n   9
  blind=0.3·(8,20)       得手 3.1667  曝光 7.4667  效率 0.3913  有效n   9
  blind=0.15·(1,3)       得手    2.6  曝光    9.9  效率 0.2342  有效n   7
  blind=0.15·(1,10)      得手    2.2  曝光 19.3667  效率 0.1013  有效n   5
  blind=0.15·(1,20)      得手 1.7333  曝光 28.3667  效率 0.0554  有效n   4
  blind=0.15·(2,3)       得手 2.8667  曝光 7.2667  效率 0.3515  有效n   8
  blind=0.15·(2,10)      得手    2.5  曝光 12.1667  效率 0.1865  有效n   6
  blind=0.15·(2,20)      得手 2.3667  曝光   18.4  效率 0.1234  有效n   6
  blind=0.15·(3,3)       得手 3.0667  曝光 6.8333  效率 0.3941  有效n   9
  blind=0.15·(3,10)      得手 2.6667  曝光 10.0667  效率 0.2385  有效n   7
  blind=0.15·(3,20)      得手    2.7  曝光 15.3667  效率 0.1791  有效n   6
  blind=0.15·(5,3)       得手 2.7333  曝光 6.4333  效率 0.3795  有效n   6
  blind=0.15·(5,10)      得手    3.1  曝光 7.6667  效率 0.364  有效n   9
  blind=0.15·(5,20)      得手 2.8667  曝光 8.8333  效率 0.3306  有效n   8
  blind=0.15·(8,3)       得手 3.1667  曝光 6.7667  效率 0.4078  有效n   9
  blind=0.15·(8,10)      得手 2.8333  曝光    6.5  效率 0.3859  有效n   8
  blind=0.15·(8,20)      得手 2.7667  曝光 6.4333  效率 0.3837  有效n   7
   （216.8s）

real	3m36.904s
user	21m16.684s
sys	0m6.343s
